能，但通常要看你的采购量、合作稳定性和促销形式。供应商一般愿意给支持，因为周末促销也能帮他们走量，但不会无条件给。

**常见能给的支持：**

1. **价格支持**
   - 周末特价供货：某几个单品按低于日常价供货，限定周六周日。
   - 满额返利：比如周末进货满多少箱，返现金或抵扣下次货款。
   - 搭赠：进10箱送1箱，相当于变相降价。
   - 爆品补贴：供应商主推的当季水果，可能愿意贴一部分差价。

2. **物料支持**
   - 海报、价签、爆炸贴、吊旗、展架。
   - 包装盒、手提袋、试吃盒、牙签。
   - 供应商品牌围裙、遮阳棚、堆头装饰。
   - 有些供应商会提供试吃果品，但通常要你申请。

3. **人员或活动支持**
   - 大供应商可能派业务员周末到店帮忙理货、试吃推广。
   - 如果是品牌水果或进口水果，可能支持试吃活动。

**供应商一般不愿意给的情况：**
- 你采购量太小，或者只是临时拿一点货。
- 促销价要求低于他们的成本线。
- 你要求长期补贴，但没有稳定采购承诺。
- 物料要得太多，但活动只做一两天。

**你可以这样谈：**
- 先选2-3个周末主推单品，集中采购量去谈。
- 明确说：“周末两天我预计卖X箱，能不能给周末供货价或搭赠？”
- 要物料时具体列清单，比如“海报2张、价签20个、试吃盒50个”。
- 如果价格谈不下来，就争取搭赠、返利或物料。
- 承诺后续稳定合作，比如“以后每周周末主推你们家这个品”。

**比较现实的预期：**
小水果店周末促销，供应商更可能给的是：**少量搭赠、价签海报、试吃支持**，直接大幅降价比较难。如果你单店采购量不大，可以联合附近几家店一起进货，谈判空间会大很多。
