在合同中明确坏果责任，建议重点关注以下几个条款：

1. **验收标准与期限**  
   - 写明货物到达后多少小时内（如24小时）为验收期，逾期视为默认合格。  
   - 约定坏果定义（如“外观霉变、腐烂、压坏面积超过10%”），可用照片或视频作为证据。

2. **损耗率与责任划分**  
   - 约定一个合理的自然损耗率（例如5%以内由买方承担）。  
   - 超出部分的责任归属：  
     - 若运输中损坏，明确由承运方或卖方承担（如“交货前风险归卖方，运输过程由承运方负责”）。  
     - 若包装或保鲜不当，约定卖方需承担全部责任。

3. **赔偿与处理方式**  
   - 约定赔偿标准：按坏果数量比例折扣货款（如“每公斤坏果扣除20元”），或按采购价全额赔偿。  
   - 明确处理方式：坏果是否需退回、由谁销毁，或直接列为损耗由买方处理。

4. **证据保存与争议解决**  
   - 要求买方在验收期内保留坏果实物或封存样本，并拍照、录像作为凭证。  
   - 建议约定“如因坏果产生纠纷，由卖方承担鉴定费用”，或指定第三方机构（如当地质检站）仲裁。

5. **特殊条款**  
   - 若为异地发货，可加入“到货后需在冷库内抽样开箱，由双方共同确认，否则卖方不认可”。  
   - 对保鲜期短的果品，增加“卖方需提供出厂合格证及运输温度记录”。

建议在合同末尾添加：  
> “货物经买方验收后，如发现质量不符约定，买方应在24小时内书面通知卖方，并提供清晰照片或视频。经双方确认后，超出【约定损耗率5%】的部分由卖方按采购价赔偿。买方应在收货后5日内处理坏果，否则视为放弃索赔权利。”

最后提醒：若采购金额较大，可要求卖方提供履约保证金或预付部分货款作为质量担保。
