建议优先谈**账期**，其次**售后**，最后**配送**。但顺序取决于你的业务类型和现金流状况。下面给一个可执行的判断框架。

## 为什么账期优先？

账期直接决定你的**现金流压力**和**议价空间**，是长期合作里金额影响最大的条款。

- 水果是高频、易腐、损耗大的品类，压货成本高
- 账期从"现结"变成"月结30天"，等于供应商给你一笔无息流动资金
- 对供应商来说，账期是它最在意的风险敞口之一，所以这也是你**最有谈判价值**的点

**判断标准：**
- 如果你现金流紧、周转快 → 账期放第一位
- 如果你现金充足、更怕断供 → 配送和售后可以提前

## 三者的谈判优先级和具体谈法

**1. 账期（优先谈）**
- 目标：先争取"月结30天"，再谈阶梯（如月结45天/60天）
- 注意：账期越长，供应商越可能把成本加到单价里，要**同时锁单价**
- 可交换条件：承诺采购量、独家采购比例、预付部分定金

**2. 售后（第二优先）**
- 水果核心痛点是**损耗和品质波动**，售后条款直接决定你的隐性成本
- 重点谈：
  - 坏果/烂果的赔付比例和标准（按箱还是按斤）
  - 到货验收时限（比如24小时内可申诉）
  - 补货还是退款，响应时间多长
- 这是最容易"看起来不重要、实际最烧钱"的条款

**3. 配送（第三优先）**
- 配送更多是**运营效率问题**，除非你门店/仓库对时效极度敏感
- 重点谈：
  - 配送频次（每日/隔日）
  - 到货时间窗口
  - 缺货、延迟的补偿
  - 运费谁承担、起送量
- 配送通常可以通过换供应商或加钱解决，弹性比账期大

## 一句话结论

**先谈账期锁现金流，再谈售后控损耗，最后谈配送提效率。** 如果只能谈一个，选账期；如果现金流没问题但对品质要求极高，把售后提到第一位也合理。
