针对单位采购水果时出现品质不一致的情况，建议按以下步骤进行验收和售后处理：

### 一、验收环节（预防与证据留存）
1. **即时开箱检查**  
   - 到货后立即在快递员或配送员见证下开箱，逐箱或按比例抽查（建议抽查20%-30%）。  
   - 重点关注：腐烂、压伤、霉变、规格明显不符（如大小、成熟度差异）等问题。  
   - 拍照/录像留存证据：需要清晰显示水果整体状态、包装标签、数量及瑕疵特写。

2. **分类记录问题**  
   - 将品质不一致的水果分为两类：  
     - **可接受轻微瑕疵**（如个别擦伤、局部软斑）——记录数量，可要求折扣或补偿。  
     - **严重不合格**（如腐烂、农药残留、品种错误）——直接拒收并当场退回或隔离存放。  
   - 制作《到货验收单》，注明具体问题、数量、批次号，双方签字确认（如供应商在场）。

### 二、售后处理流程（基于合同约定）
1. **立即通知供应商**  
   - 到货后24小时内（按合同约定时间，通常12小时内）将问题证据（照片、视频、验收单）发送给供应商。  
   - 明确要求：退货、换货、折价或按比例补偿。

2. **标准处理方式**  
   - **轻微不一致（5%以内）**：  
     - 常见做法：按差价折扣，例如次品按50%原单价结算，或免费补发等值水果。  
     - 建议在合同预先约定：允许合理损耗率（如3%以内），超出的部分由供应商承担。  
   - **严重不一致（超过10%或全批次问题）**：  
     - 要求整批退货或换货，供应商承担运费及可能产生的仓储损失。  
     - 若供应商不配合，可依据《民法典》第563条（合同目的无法实现）解除合同，并申请平台介入或保留诉讼权利。

### 三、预防性措施（长期优化）
1. **采购合同条款**  
   - 明确验收标准：例如颜色（如X度成熟度）、大小（如单果XX-XXcm）、瑕疵容忍度（腐烂超过X%视为不合格）。  
   - 争议解决方法：约定第三方检测机构（如SGS）或行业标准（如GB 2763农残标准）。  
   - 明确售后响应时间：如到货后48小时内完成换货或退款。

2. **分级供应商管理**  
   - 对长期供应商建立交付质量评分记录（如：到货合格率<90%则降低采购比例）。  
   - 要求供应商提供批次溯源码、产地和质检报告。  
   - 对新供应商首次合作时，建议先试订单（如10箱）评估品质稳定性。

### 四、紧急情况处理建议  
- **水果已分发但发现腐烂**：立即隔离未食用部分，联系供应商急调同批次无害水果补发（优先避免浪费）。  
- **单位内部责任分配**：由采购部门、使用部门（如行政/食堂）联合验收，避免单方责任推诿。  
- **法律取证**：若供应商恶意欺诈（如以次充好、产地不符），可要求其承担《食品安全法》第148条惩罚性赔偿。

建议单位在采购水果前，与供应商签署《采购品质确认书》并附带样本照片，双方签字后作为验收依据。事后若频繁出现品质问题，应及时更换供应商。
