单位采购水果时，由于水果属于生鲜易损品，品质波动是常见风险。针对“到货品质不一致”的情况，建议严格按照以下步骤进行验收和售后，以保障权益、减少损失：

---

### 一、验收环节（货到当场）

**1. 先看随货单据**
- 核对送货单上的品种、规格（如：果径、等级）、数量是否与采购合同/订单一致。
- 检查是否有供应商提供的质检报告或产地证明（如有要求）。

**2. 当面对批次开箱抽检**
- **抽检比例**：建议按总箱数的10%-20%随机开箱抽查（如100箱抽10-20箱），如果抽检发现问题，可扩大至30%-50%，甚至整批查验。
- **重点检查项**：
  - **外观**：有无霉变、腐烂、机械伤、虫眼、畸形。腐烂果直接挑出计数。
  - **颜色/成熟度**：是否符合约定等级（如“九成熟”或“无青头”）。
  - **重量/大小**：单果重量或果径是否达标（可用电子秤或卡尺抽测）。
  - **口感与新鲜度**：现场切开1-2个样本，看果肉颜色、水分、有无褐变或异味。

**3. 当场按“问题果”分类**
- **严重腐烂/变质**：直接拒收这部分，要求供应商换货或扣款。
- **轻微瑕疵（挤压伤、表皮小斑点）**：可接受，但应折价处理（如每斤扣0.5-1元），或要求供应商补发等量好果。
- **大小/等级不符**：整箱超标（如小果当大果卖），可拒收该规格箱，或按实际等级重新计价。

**4. 填写验收记录单**
- 一式两份，写明到货日期、车次、总箱数、抽检箱数、问题果数量、双方签字。拍照留证（拍摄整批外观、开箱特写、问题果特写）。

---

### 二、售后处理（验收后发现问题）

**1. 时效要求**
- 水果售后窗口期极短，一般要求**收货后24小时内**向供应商提出书面异议（部分品类如荔枝、樱桃甚至缩短至6-8小时）。
- 超时未报，供应商有权拒绝售后。

**2. 证据留存**
- 保留**完整的外包装、内包装箱**，不要扔。
- 拍摄**全景视频**：从包装箱外部→开箱→逐层翻看→问题果特写→称重过程，全程连贯，不要剪辑。
- 记录问题果数量、比例（如“开箱50箱，发现腐烂果12个，占比2.4%”）。

**3. 联系供应商的具体措辞建议**
- **电话/微信即时沟通**：明确告知“贵司X月X日送到的XX水果，经我单位抽检，腐烂率超出合同约定的X%，请24小时内安排补货或退款”。
- **书面函件**：如供应商拖延，发送正式《质量异议函》（附照片、视频链接、验收单扫描件），抄送采购主管。

**4. 协商方案**
- **方案A（换货）**：要求供应商同等品质补发问题果数量的对应货物。
- **方案B（退款/扣款）**：按问题果比例折价，例如：100箱水果烂了5箱，则扣5箱货款+可能产生的分拣人工费。
- **方案C（折扣补偿）**：整体给予折扣，如“按总价的90%结算”，但前提是问题果不影响主要食用。

**5. 若协商失败**
- 查看采购合同中的“质量追溯条款”或“违约金条款”。
- 保留证据向单位财务部门说明，暂不支付有争议部分的货款（但要避免全部拒付，以免构成违约）。
- 必要时通过市场监督管理投诉或法律途径解决（水果金额通常不大，尽量协商优先）。

---

### 三、预防后续问题的关键点

1. **合同写细**：在采购合同中明确写明“到货腐烂率不超过3%，超过部分由供方承担”、“规格以XX（如果径>6cm）为准”、售后时限、赔付比例。
2. **选对供应商**：优先选择有基地、有冷链、有固定配送时间的供应商，避免“临时拼车”货源。
3. **分批到货**：如果采购量大，可要求分2-3批到货，每批验收后再支付该批款项，降低单批风险。
4. **留足余量**：采购量按实际需求上浮5%备用，预留坏果空间。

---

### 总结核心动作
> **当场验、当场记、当场拍、24小时内书面通知、保留证据、按合同算账。**

如果你需要，我可以帮你拟一份“水果到货验收记录表”或“质量异议函”模板。
