判断一批香蕉的熟度和坏果风险，建议从以下几个方面入手：

1. 观察颜色与光泽度：
   - 熟度：青色偏绿为未熟，黄色为主为适熟，出现黑斑或全黄偏软为过熟。
   - 坏果风险：表皮出现大面积黑斑、水渍状暗色区域，或表面有霉菌（白/绿/黑色绒毛），说明已有腐烂风险。

2. 触摸硬度：
   - 熟度：整体硬实但略有弹性为可储存；一按即软说明熟度高；较硬则需催熟。
   - 坏果风险：局部发软、凹陷，或果柄处有黏腻感，可能内部已经变质。

3. 闻气味：
   - 熟度：有温和香蕉香气为正常；过熟有酒精味或发酵气味。
   - 坏果风险：酸臭味、霉味、腐败气味，直接表明有坏果。

4. 检查果柄与果尾：
   - 果柄发黑、干枯、潮湿或发霉，容易蔓延到整串。
   - 果尾（花萼）发黑或腐烂，也预示坏果风险高。

5. 抽样拆箱检查：
   - 从不同位置（顶层、中间、底层）随机抽取3-5串，观察内部是否一致。
   - 注意箱子是否潮湿、有异味，或果串间有液体渗出。

6. 注意运输条件：
   - 如运输过程中经历过高温（>30℃）或低温（<10℃），香蕉容易产生冷害（表皮变灰、无法正常成熟）或热伤（内部软化、褐变）。
   - 检查纸箱是否破损、压痕严重，增加机械伤后霉变风险。

7. 熟度管理建议：
   - 如需长期仓储：选择七成熟（整体青绿，果身硬实）的货。
   - 如需快速上市：选九成熟（黄中带绿，稍有弹性）。
   - 若已出现个别坏果，立即挑出隔离，避免乙烯加速整个批次腐烂。

总结：一看（颜色、斑点）、二摸（硬度、黏腻）、三闻（气味）+ 抽样整体检查 + 运输背景判断，可有效预判一批香蕉的熟度与坏果风险。
