与供应商谈酒店早餐水果合作时，建议重点关注以下环节以确保稳定供应和质量：

1. **明确供应规格与标准**  
   - 要求供应商提供符合酒店早餐需求的果品清单（如常见品种：香蕉、苹果、橙子、西瓜等），并明确水果的成熟度、尺寸、外观（无伤痕、腐烂）和包装要求。
   - 建议书写在合同中的具体标准：例如“苹果直径≥7厘米，表皮无黑斑；香蕉需七成熟以上，不能青涩”。

2. **签订长期协议与供货频率**  
   - 约定每日或每周固定配送时间（如清晨6点前送达酒店厨房），并要求供应商提供配送延迟的补救或赔偿条款（如小于1小时免费补送，超时按日结算折扣）。
   - 建议设定最低供货量（如每日至少5箱水果），防止缺货。

3. **价格谈判与调价机制**  
   - 约定基础价格（锁定3-6个月），并明确因季节性价格波动（如夏季西瓜降价、冬季进口水果涨价）的调整公式（如以当地批发市场均价为参考，浮动±10%内不变）。
   - 询问供应商是否提供账期（如月结30天），付款方式（如增值税发票）。

4. **品质管控与退货条款**  
   - 要求每批次随货附质检报告（如农残检测、新鲜度证明），或约定酒店有权在到货1-2小时内抽检，不合格（如5%以上腐烂）可拒收或扣款。
   - 明确退货流程：例如48小时内将坏果拍照反馈，供应商负责更换或全额退款。

5. **应急方案与备用供应商**  
   - 要求供应商提供后备供应源（如主产地遇灾时的替代产区），并签订“连续2次断供可解约并索赔”条款。
   - 最好同时备份1-2家供应商，保持联系以应对突发情况（如节假日需求量暴增）。

6. **物流与冷链要求**  
   - 明确运输车辆的冷藏温度（如0-4℃），并要求在配送单上记录装卸时间；若夏季高温，需额外保障冰袋或冷包。
   - 建议车体标识温度记录仪，数据保留3个月以上以便核查。

7. **长期合作激励机制**  
   - 设立年度采购量阶梯返点（如满100万元返1%），或鼓励供应商主动提供新品试销（如当季芒果）。
   - 允许供应商每月轮换1-2个水果品种以保新鲜感，但需提前通知。

建议先试合作1个月（小批量），观察其配送时效、沟通效率和应对投诉的能力，再签署长期合同。同时保留书面沟通记录（合同、邮件或微信聊天记录）以备争议时使用。
