与供应商洽谈酒店早餐水果供应合作时，需重点关注以下方面：

1. **供应稳定性与应急方案**  
   - 确认供应商能否每日固定配送，尤其节日或旺季需求量增加时。要求提供备用供应商或应急调货机制，避免断供（如台风、物流中断时）。

2. **质量标准与验收规范**  
   - 明确水果成熟度、大小、色泽、无损伤等具体要求（如苹果直径不少于8cm、香蕉无黑斑）。约定拒收标准（如腐烂、虫蛀），现场验收后不合格品立即退货或折价。

3. **品种与季节性调整**  
   - 要求供应商根据季节调整品种（如夏季西瓜、哈密瓜，冬季柑橘、草莓），同时确保稳定供应全年常见水果（如苹果、香蕉）。列出可替换清单，避免因单一品种缺货影响自助餐搭配。

4. **价格与合同条款**  
   - 签订框架协议锁定基础价格，但约定市场价波动超过一定比例（如10%）时启动调价机制。明确付款周期（如月结30天）及违约责任（如延迟配送每日扣减1%货款）。

5. **食品安全与溯源**  
   - 供应商需提供批次检疫证明、农残检测报告，且包装箱体标注产地、采摘日期。要求源头可追溯，避免农药残留或变质问题引发客诉或食品安全事故。

6. **试供与考核条款**  
   - 先设置1-2周试供应期，考察实际配送准确率、品质一致性、反应速度。正式合同中加入月度考核（如准时率≥98%、退货率≤3%），不合格则有权缩短合同期或更换供应商。

7. **包装与配送细节**  
   - 水果需独立包装防磕碰（如网套、托盘），冷藏车恒温运输（如菠萝、草莓）。明确到货时核心温度（如香蕉12-15℃），避免冷链断裂导致提前成熟或变质。

最后，建议初期与2-3家供应商同步合作，分散风险；合同注明环保要求（如减少一次性泡沫箱），并保留条款允许未来引入新供应商竞价。
