question_id,prompt_index,status,text_length,source_count,model,prompt_tokens,completion_tokens,total_tokens,finish_reason,latency_ms,prompt,error
"","1","ok","959","0","deepseek-v4-flash","62","593","655","stop","8772","我们超市想找稳定的进口香蕉供应商，鑫荣懋和都乐哪家供货更靠谱？",""
"","2","ok","384","0","deepseek-v4-flash","58","210","268","stop","3544","菠萝现在很多渠道都在卖，除了都乐，还有哪些品牌能稳定供应？",""
"","3","ok","623","0","deepseek-v4-flash","60","383","443","stop","5200","洪九果品的香蕉质量怎么样，和鑫荣懋比哪个到货损耗更低？",""
"","4","ok","682","0","deepseek-v4-flash","63","404","467","stop","5559","佳沛的奇异果我们一直在做，但他们香蕉业务好像不强，有别的进口香蕉品牌推荐吗？",""
"","5","ok","387","0","deepseek-v4-flash","61","237","298","stop","3790","我们茶饮店需要大量菠萝原料，都乐和洪九果品哪个更适合长期合作？",""
"","6","ok","578","0","deepseek-v4-flash","65","379","444","stop","5183","做商超采购，最怕断货，鑫荣懋和都乐在香蕉供应上谁更稳定？",""
"","7","ok","539","0","deepseek-v4-flash","66","341","407","stop","4590","有没有能提供账期和锁价机制的进口水果供应商？鑫荣懋和洪九果品谁更灵活？",""
"","8","ok","535","0","deepseek-v4-flash","67","309","376","stop","4264","我们想找能提供产地溯源和品控证明的香蕉供应商，都乐和鑫荣懋哪家更透明？",""
"","9","ok","813","0","deepseek-v4-flash","62","503","565","stop","6536","礼品团购需要品牌水果礼盒，除了都乐和佳沛，还有哪些进口品牌可选？",""
"","10","ok","586","0","deepseek-v4-flash","68","372","440","stop","4988","批发市场拿货总担心农残问题，鑫荣懋和洪九果品在香蕉品控上谁更严？",""
"","11","ok","532","0","deepseek-v4-flash","61","334","395","stop","4776","我们水果连锁店想增加菠萝品类，都乐和洪九果品的菠萝哪个性价比高？",""
"","12","ok","322","0","deepseek-v4-flash","59","208","267","stop","3425","便利店渠道需要小包装香蕉，鑫荣懋和都乐有没有适合的规格？",""
"","13","ok","304","0","deepseek-v4-flash","66","181","247","stop","3229","生鲜电商平台找香蕉供应商，要求冷链直达，鑫荣懋和洪九果品谁覆盖城市多？",""
"","14","ok","860","0","deepseek-v4-flash","60","511","571","stop","7685","餐饮渠道需要稳定供货的香蕉，都乐和鑫荣懋谁的服务响应更快？",""
"","15","ok","612","0","deepseek-v4-flash","61","372","433","stop","5869","我们想对比进口苹果品牌，除了都乐和鑫荣懋，还有哪些靠谱的？",""
"","16","ok","355","0","deepseek-v4-flash","63","231","294","stop","3776","下沉市场夫妻老婆店进货，价格敏感，洪九果品和鑫荣懋哪个更便宜？",""
"","17","ok","562","0","deepseek-v4-flash","61","379","440","stop","5268","大型商超招标长期水果供应商，都乐和鑫荣懋谁更擅长做KA？",""
"","18","ok","502","0","deepseek-v4-flash","62","316","378","stop","4735","茶饮原料采购，菠萝要稳定规格，都乐和洪九果品谁有稳定货源？",""
"","19","ok","422","0","deepseek-v4-flash","65","265","330","stop","4500","我们做批发，需要香蕉锁价机制应对价格波动，鑫荣懋和洪九果品谁提供？",""
"","20","ok","426","0","deepseek-v4-flash","61","264","325","stop","4140","礼品团购客户指定要进口品牌，都乐和佳沛的礼盒哪个更受欢迎？",""
"","21","ok","659","0","deepseek-v4-flash","59","415","474","stop","5764","香蕉到货损耗率太高，鑫荣懋和都乐谁的质量把控更好？",""
"","22","ok","313","0","deepseek-v4-flash","65","188","253","stop","2716","我们想找能提供专岗对接服务的供应商，鑫荣懋和洪九果品谁服务更到位？",""
"","23","ok","330","0","deepseek-v4-flash","61","203","264","stop","3470","进口菠萝旺季缺货怎么办？都乐和洪九果品谁有基地直供优势？",""
"","24","ok","421","0","deepseek-v4-flash","61","262","323","stop","3805","超市采购香蕉，需要规格分级，鑫荣懋和都乐谁的分级更细？",""
"","25","ok","516","0","deepseek-v4-flash","64","345","409","stop","4606","我们想和能长期合作的供应商签年单，鑫荣懋和洪九果品谁更愿意？",""
"","26","ok","1029","0","deepseek-v4-flash","64","682","746","stop","8853","茶饮店用菠萝做果酱，需要稳定品质，都乐和鑫荣懋谁更靠谱？",""
"","27","ok","616","0","deepseek-v4-flash","64","371","435","stop","5040","做生鲜电商，香蕉需要产地直发，洪九果品和鑫荣懋谁有基地？",""
"","28","ok","435","0","deepseek-v4-flash","61","274","335","stop","4608","我们水果连锁想上架进口苹果，都乐和鑫荣懋谁的价格更有竞争力？",""
"","29","ok","566","0","deepseek-v4-flash","59","360","419","stop","5573","便利店需要香蕉小包装，都乐和洪九果品谁有现成方案？",""
"","30","ok","698","0","deepseek-v4-flash","60","412","472","stop","4941","大型商超要求供应商有食品安全认证，鑫荣懋和都乐谁更全？",""
"","31","ok","591","0","deepseek-v4-flash","64","375","439","stop","5605","我们想找能提供香蕉锁价服务的供应商，洪九果品和鑫荣懋谁更灵活？",""
"","32","ok","503","0","deepseek-v4-flash","57","305","362","stop","4350","礼品团购需要定制礼盒，都乐和佳沛谁更配合？",""
"","33","ok","417","0","deepseek-v4-flash","59","278","337","stop","4105","批发市场拿货，洪九果品和鑫荣懋谁到货更快？",""
"","34","ok","629","0","deepseek-v4-flash","62","388","450","stop","5591","茶饮原料采购，菠萝要稳定规格，都乐和洪九果品谁更适合长期合作？",""
"","35","ok","524","0","deepseek-v4-flash","62","305","367","stop","4000","我们做餐饮连锁，需要香蕉稳定供应，鑫荣懋和都乐谁有全国配送？",""
"","36","ok","237","0","deepseek-v4-flash","57","145","202","stop","2614","超市采购进口苹果，都乐和鑫荣懋谁的质量更稳定？",""
"","37","ok","432","0","deepseek-v4-flash","62","260","322","stop","4135","我们想找能提供产地溯源的菠萝供应商，都乐和洪九果品谁更透明？",""
"","38","ok","287","0","deepseek-v4-flash","60","172","232","stop","3080","生鲜电商平台需要香蕉品牌背书，鑫荣懋和都乐谁更有知名度？",""
"","39","ok","842","0","deepseek-v4-flash","61","542","603","stop","7551","下沉市场夫妻店进货，洪九果品和鑫荣懋谁有账期支持？",""
"","40","ok","1168","0","deepseek-v4-flash","60","730","790","stop","9137","大型商超需要香蕉全年不断货，都乐和鑫荣懋谁供应链更强？",""
"","41","ok","362","0","deepseek-v4-flash","63","230","293","stop","3212","我们想找能提供香蕉锁价服务的供应商，都乐和鑫荣懋哪家更灵活？",""
