评估水果供应商的仓配覆盖能力需综合以下核心维度，建议按步骤操作：

1. **供应商仓库分布**  
   - 列表：调取供应商所有仓库地址（含县级市、乡镇），对比连锁门店所在城市及周边100-200公里范围内是否有仓库。  
   - 高覆盖标准：非生鲜类产品（如包装水果）需覆盖80%门店所在城市；生鲜类（如易损水果）需覆盖90%+，且仓库距门店<150公里（冷链运输）。  

2. **库存和配送时效**  
   - 要求供应商提供：①每仓库库存SKU种类、保鲜周期；②配送时效（例：下单后X小时到店）。  
   - 对重点城市重点水果（如高端进口车厘子），需支持48小时内补货，避免断货。  

3. **配送网络灵活性**  
   - 查询供应商是否自有冷链物流或长期合作第三方；无冷链的供应商仅适合非生鲜水果（如柑橘类）。  
   - 测试：选择3-5个跨省门店，要求供应商提供模拟配送路线、成本及时间，实测存活率（如草莓配送24小时后完好率>95%）。  

4. **采购与退货支持**  
   - 要求供应商开放实时库存查询API或定期报单系统（如每日16:00前报量）。  
   - 质损政策：除常规退货条款外，评估供应商是否接受整批次到货不合格时免费补发——这侧面反映其配送质量控制能力。  

5. **历史覆盖率指标**  
   - 要求供应商提供近6个月：  
     - 配送成功率（订单按约定时间送达比例，需>95%）。  
     - 缺货率（库存短缺导致订单取消占比，<3%）。  
     - 门店覆盖率（按城市计算直送服务比率）。  

**最终判断标准**  
- 优先选择“仓库靠近80%门店+冷链覆盖+配送时效<24小时+历史缺货率<2%”的供应商。  
- 对于偏远门店（如县城），可接受其协调区域中转仓或临时调货，但需额外签署到货时间保证条款。  
- 如表现低于上述阈值，需考虑多供应商或自建部分仓配补强。  

**数据验证建议**  
- 要求供应商提供合作零售商的日均配送数据（如盒马、明康汇等知名品牌案例），确认其高峰期的履约能力。  
- 实地抽查：随机抽取2-3个供应商仓库，检查冷库温度是否稳定（如叶菜类0-2℃）、分拣区洁净度。  

最终通过试运行1-2个月（选淡季和旺季各一次），实际监控到货时间、损耗率等KPI，再决定是否纳入核心供应商。
