做水果礼盒，核心不是“把四种水果凑一起”，而是**按场景定价、按耐放程度搭配、按卖相分层**。苹果、橙子、香蕉、菠萝这四样如果乱装，容易遇到两个问题：香蕉催熟其他水果、菠萝太重压坏下层。下面给你一套比较落地的搭配和卖法。

## 一、先定主场景，再定搭配

### 1）走量款：39–59元，主打“日常送礼/探病/同事分享”
**推荐组合：苹果4个 + 橙子4个 + 香蕉1把（约5–6根）**
- 优点：成本低、颜色亮、看起来满。
- 注意：香蕉单独用纸袋或隔层放，别贴着苹果和橙子。
- 适合：小区门口、外卖、企业小单。

### 2）利润款：69–99元，主打“好看、有面子”
**推荐组合：苹果4个 + 橙子4个 + 菠萝1个 + 香蕉少量点缀**
- 优点：菠萝撑体积，礼盒显大；苹果橙子耐放，适合提前备货。
- 注意：菠萝竖放或单独卡位，否则会压坏下面水果。
- 适合：节日、探病、开业、送长辈。

### 3）高端款：129–199元，主打“精品果+统一规格”
**推荐组合：精品苹果6个 + 精品橙子6个 + 菠萝1个（小果） + 香蕉不整把，只放2–3根做颜色点缀**
- 优点：整齐、统一、显贵。
- 关键：苹果和橙子要大小一致，菠萝选小果，香蕉选短胖型。
- 适合：商务、节日、高客单外卖。

## 二、这四种水果的搭配原则

1. **苹果和橙子是底盘**
   - 耐放、耐压、颜色稳，适合做礼盒主体。
   - 苹果选红富士、阿克苏这类红黄果；橙子选脐橙、沃柑、冰糖橙。
   - 两者比例通常 1:1 最好卖。

2. **菠萝是“撑盒器”**
   - 一个菠萝能让礼盒看起来大一圈，但重、扎手、易压果。
   - 建议：要么单独卡位，要么放最上层，要么用网套+纸托。
   - 小菠萝比大菠萝更适合礼盒，不占地方还显精致。

3. **香蕉是“颜色担当”，不是主果**
   - 香蕉黄，能提亮礼盒，但熟得快、会催熟其他水果。
   - 建议：只放少量，单独装袋，别和苹果橙子直接贴。
   - 如果礼盒要放2–3天再送，香蕉选微青的，别选全黄。

4. **别四种等量堆满**
   - 四种等量容易显得杂，反而不高级。
   - 好卖的结构通常是：**2种主果 + 1种撑体积 + 1种点缀**。

## 三、最好卖的3个具体方案

### 方案A：日常走量款（建议卖49元）
- 苹果4个
- 橙子4个
- 香蕉5根
- 不加菠萝，或加小菠萝做59元版
- 包装：牛皮纸盒+透明窗+简单丝带
- 卖点：实惠、颜色好、当天可送

### 方案B：节日利润款（建议卖79–89元）
- 苹果5个
- 橙子5个
- 小菠萝1个
- 香蕉3根点缀
- 包装：天地盖礼盒+拉菲草+隔层
- 卖点：有菠萝显大，送礼有面子

### 方案C：高端精品款（建议卖129元以上）
- 精品苹果6个
- 精品橙子6个
- 小菠萝1个
- 香蕉2–3根，单独小袋
- 包装：硬盒+果托+统一网套+手提袋
- 卖点：果径统一、无瑕疵、可代写贺卡

## 四、陈列和定价技巧

- **不要只做一个礼盒**：做3档，39/69/129，让顾客好选。
- **门口放切开或半开礼盒**：让人看到里面水果，比封闭盒子好卖。
- **标场景不标水果**：写“探病礼盒”“长辈礼盒”“同事分享盒”，比写“苹果橙子香蕉菠萝”更好卖。
- **香蕉单独提醒**：告诉顾客“香蕉先吃，其他可放几天”，减少售后。
- **菠萝提前处理**：可以代削皮装盒，但削皮后要冷藏，当天卖完。
- **节日提前3–5天备货**：苹果橙子耐放，香蕉和菠萝临节前1–2天再补。

## 五、最稳妥的结论

如果只选一个最好卖的搭配，建议：

**苹果5个 + 橙子5个 + 小菠萝1个 + 香蕉3根**  
定价 **79–89元**，用天地盖礼盒，香蕉单独隔开。

这个组合：
- 苹果橙子耐放、撑成本；
- 菠萝撑体积、显档次；
- 香蕉提颜色、增加丰富感；
- 整体看起来比实际成本贵，适合节日和送礼。

如果走量，就做 **苹果4 + 橙子4 + 香蕉5**，卖39–49元，不要硬加菠萝，否则成本压不住。
