做水果礼盒，核心不是“凑够四样”，而是**让顾客一眼觉得值、送得出手、你还能控损耗**。苹果、橙子、香蕉、菠萝这四种里，菠萝和香蕉最容易坏事：菠萝带刺、占地方、难包装；香蕉容易压伤、变黑。所以搭配思路要围绕“耐放、好看、有寓意”来。

下面给你几套直接能用的方案，按价格带和场景分。

**1. 平价走量款：苹果+橙子为主，香蕉少量点缀**
- 配比：苹果4个 + 橙子4个 + 香蕉2根（单独用纸盒或气柱固定）
- 包装：牛皮纸盒或透明开窗盒，成本低，适合39-59元档
- 卖点：日常送人、同事分享、小区团购
- 注意：香蕉不要和苹果放一起，苹果释放乙烯会催熟香蕉。最好用隔板分开，或者香蕉单独装小袋。

**2. 中档送礼款：苹果+橙子+菠萝，香蕉换掉**
- 配比：苹果3个 + 橙子4个 + 小菠萝1个（或菠萝半切真空装）
- 包装：硬纸礼盒+拉菲草，菠萝立着放，旁边用橙子填缝
- 卖点：颜色金红橙，喜庆，适合探病、开业、节日
- 注意：菠萝带冠芽会扎破包装，建议剪掉冠芽，或者选已削皮真空小菠萝。整颗菠萝太重，礼盒总重控制在2.5kg以内，否则快递和手提都累。

**3. 高颜值网红款：橙子+苹果+香蕉，菠萝只做装饰**
- 配比：橙子5个 + 苹果3个 + 香蕉1把（3-4根小香蕉）
- 包装：透明手提袋+丝带，香蕉挂在外侧或单独小盒
- 卖点：颜色亮，适合拍照发朋友圈，年轻客群、下午茶送礼
- 注意：香蕉选小米蕉或皇帝蕉，比大香蕉耐放、好看。苹果选红富士，橙子选脐橙或沃柑，颜色对比强。

**4. 如果一定要四种都放：分层+隔离**
- 底层：苹果、橙子（耐压）
- 中层：菠萝（剪冠芽，用泡沫网套住）
- 上层或侧袋：香蕉（单独纸盒，不接触苹果）
- 总价建议：69-99元档，低于69元顾客觉得不值，高于99元不如直接买进口水果礼盒。

**实操建议：**
- **别做固定搭配，做“可选组合”**：比如“平安橙意款”（苹果+橙子）、“旺来款”（菠萝+橙子）、“蕉好运款”（香蕉+苹果）。名字带寓意，比“水果礼盒”好卖。
- **菠萝是双刃剑**：整颗菠萝显大、显值，但损耗高、包装难。建议只做展示样品，实际发货用真空半切菠萝，或者干脆用菠萝干/菠萝造型卡片替代。
- **香蕉必须单独处理**：成熟度选微黄带绿，别选全黄。全黄当天好看，第二天就黑。用气柱袋或小纸盒固定，别让顾客拎着晃。
- **定价看水果成本，别只看个数**：苹果和橙子便宜，菠萝和香蕉贵。如果菠萝成本高，就减少菠萝数量，用橙子填体积。
- **试卖三天**：先做20盒，三种搭配各做几盒，看哪种先卖完。水果店最怕压货，香蕉和菠萝隔夜就掉价。

一句话：**主推苹果+橙子打底，菠萝做视觉担当但少放，香蕉单独包装做点缀。** 这样既好卖，又不容易烂。
