针对单位采购水果时出现品质不一致的情况，建议按照以下步骤进行验收和售后处理：

### 一、验收环节（现场操作）
1. **拍照留证**：开箱后立即对每箱/每批水果进行多角度拍照，重点拍摄品质差异明显的部位（如腐烂、压伤、未熟、尺寸不均等），保留包装箱上的物流单号、供应商标签等标识。
2. **抽样核查**：每批次随机抽取至少10%的样品逐个检查，记录问题水果数量、类型（如腐烂、大小不达标）。
3. **填写验收单**：在验收单或单据上注明“品质不一致”，列明具体问题（如“第3箱中5个苹果有压伤”），要求送货人员签字确认。若拒绝签字，可拒绝接收该批次。
4. **隔离存放**：将品质不一致的水果与合格品分开放置，避免污染，并拍照保存隔离场景。

### 二、售后处理（与供应商沟通）
1. **即时反馈**：验收发现后24小时内，将照片、验收记录发送给供应商（建议用正式邮件或聊天工具截图），明确说明：问题类型、数量、要求解决方案（如换货、补发、折价）。
2. **协商标准**：参考合同或常规标准（如：烂果≥5%应整箱换货；单果重量偏差超过10%应折价），如无合同可提出行业惯例（如批发市场通常接受按比例退款）。
3. **售后方案**：
   - **全换**：若品质严重不符（如50%以上损坏），要求整批次退货换货。
   - **部分补发**：如仅少量瑕疵，可要求按问题数量补发同等品质水果。
   - **折价结算**：对可接受但品质稍差的水果，协商按原价的70%-90%结算（具体比例按实际损耗计算）。
   - **保留扣款权**：若供应商不配合，可在后续采购中扣减相应金额，但需有书面记录。

### 三、后续预防措施
1. **合同细化**：下次采购时在合同中明确验收标准（如：苹果单果重量≥200g，烂果≤2%），并约定售后流程（如48小时内反馈、换货时效）。
2. **指定验收人**：由专人负责，记录每次到货情况，积累供应商信用档案。
3. **第三方检验**：对长期批量采购，可引入第三方抽检（如在果品检测中心送样），作为纠纷依据。

### 关键提醒
- **不要私了**：所有沟通保留文字记录，避免口头承诺。
- **时效优先**：水果易腐烂，售后需在到货后48小时内处理完毕，超期可能无法退货。
- **备用供应商**：若该供应商频繁品质不一致，立即启动备选供应商，避免影响单位使用。
