判断苹果和橙子的规格是否适合门店销售，核心是看**目标客群、定价带、陈列方式、损耗率**四个因素，而不是单纯看“大就好”或“小就便宜”。下面给你一套可直接执行的判断方法。

## 一、先定门店定位，再定规格

不同门店对规格要求完全不同：

| 门店类型 | 苹果适合规格 | 橙子适合规格 | 逻辑 |
|---|---|---|---|
| 社区生鲜店 | 中果为主，70–80mm | 中果，65–75mm | 家庭日常买，按斤称，性价比优先 |
| 精品超市 | 大果，80–90mm | 大果，75–85mm | 礼盒、送礼、单价高 |
| 水果专营店 | 分档卖，中果+大果 | 分档卖 | 满足不同预算 |
| 便利店 | 小果/中果，单粒装 | 中果，易剥皮 | 即食、单人份 |
| 食堂/团购 | 中大果，耐储 | 中大果 | 走量、损耗低 |

**结论：先确定你卖给谁，再反推规格。**

## 二、苹果规格判断标准

苹果一般按**横径（mm）**分级：

- 60–65mm：小果，适合特价、儿童、食堂
- 65–70mm：中小果，社区店常见
- 70–75mm：中果，最通用
- 75–80mm：中大果，主流销售规格
- 80–85mm：大果，精品店/礼盒
- 85mm以上：特大果，礼盒、高端

**门店可执行判断：**
1. 手拿一个苹果，成年人一手能握住、不显小，通常70–80mm。
2. 如果门店按“个”卖，选75–85mm，视觉饱满。
3. 如果按“斤”卖，选65–80mm，走量快。
4. 如果做礼盒，选80mm以上，且果形端正、颜色均匀。

**注意：**
- 苹果不是越大越好。超过90mm可能口感偏松，且单价高、动销慢。
- 要同时看**果形、着色、硬度、糖度**，规格只是门槛。

## 三、橙子规格判断标准

橙子也按横径分级，但品种差异大：

- 脐橙：65–75mm中果，75–85mm大果
- 血橙：60–75mm常见
- 冰糖橙：小果更受欢迎，50–65mm
- 沃柑：60–75mm
- 伦晚：65–80mm

**门店可执行判断：**
1. 按斤卖：选65–75mm，大小均匀，顾客挑拣少。
2. 按个卖：选75–85mm，拿在手里有分量。
3. 做礼盒：选75mm以上，果面干净、无疤。
4. 即食/便利店：选易剥皮的中小果，60–70mm。

**注意：**
- 橙子太小，顾客觉得“没肉、酸”。
- 橙子太大，皮厚、水分可能不足，且单价高。
- 同一批货**大小差不超过10mm**，否则陈列乱、挑拣损耗大。

## 四、采购时现场可操作的5个动作

1. **带卡尺**：随机抽10个，量横径，算平均和最大最小差。
2. **看均匀度**：同箱内大小差超过10mm，说明分级差，不适合直接上架。
3. **称重换算**：比如苹果80mm约200–250g，橙子75mm约180–220g，算单粒成本。
4. **试吃**：规格达标但口感不行，不能采购。
5. **算损耗**：小果、大果、畸形果比例超过10%，要压价或拒收。

## 五、最适合门店销售的通用规格建议

如果你不想太复杂，直接照这个采购：

- **苹果**：75–80mm，按斤卖；80–85mm，按个/礼盒卖。
- **橙子**：70–75mm，按斤卖；75–80mm，按个/礼盒卖。
- **社区店**：苹果70–80mm，橙子65–75mm。
- **精品店**：苹果80–85mm，橙子75–85mm。

## 六、一句话判断

**规格是否适合门店，不看绝对大小，看三点：**
1. 和目标客群的购买习惯匹配；
2. 同批货大小均匀，挑拣损耗低；
3. 定价后仍有毛利，且动销速度能覆盖损耗。

如果你告诉我你的门店类型、主要客群和打算按斤还是按个卖，我可以直接给你一个具体的规格区间和采购验收标准。
