针对超市门店多但单店销量不大的情况，建议采用**统采统配 + 少量直采**的混合模式，具体方案如下：

1. **核心模式：区域性集中配送**
   - 找一个或少数几个大型一级批发商或产地代理，由其统一采购、分拣后，按各门店需求配送到店。
   - 优点：压低采购价，减少各门店单独采购的管理成本与沟通成本。

2. **关键操作：动态定额 + 两日一配**
   - 根据各店过往销售数据，设定一个安全库存（如日均销量的1.5倍），由总部统一下单，配送频率可设为2天一次。
   - 这样可以避免单店进货过多而损耗，同时保证不断货。

3. **补丁措施：小量直采与“鲜度专区”**
   - 对高端或易损耗的当地时令水果（如草莓、樱桃），可允许头部门店做少量当日直采，或者设置“当季鲜果”专区，由供应商每日只配送极小批量（如每店一箱）。
   - 另外与供应商约定“次日退换”或“买断损耗”条款，降低门店滞销风险。

4. **建议回避的模式**
   - 避开门店自主采购或供应商直送各店——这种方式管理成本高，且议价能力弱。
   - 避免“大批量进库再分配”模式——单店量小，分拣与二次运输成本会吃掉利润。

**可执行决策：** 先找一个覆盖你区域内多数门店的批发商（或产地仓），试运行15天，重点看单店损耗率是否低于5%，配送准确性是否达标。如果数据合格，再逐步扩大。
