在酒店采购水果盘原料时，供应商应确保水果符合以下**规格标准**和**外观标准**。建议在采购合同中明确列明这些条款，并作为验收依据：

---

### 一、规格标准（可量化、可测量）

1. **单果克重/尺寸**  
   - 明确每个品种的单果重量范围（如：哈密瓜单果≥1.5kg，西瓜单果≥3kg）。  
   - 果径大小统一（如：苹果直径≥75mm，橙子≥70mm）。  
   - 同一批次内，规格差异应≤10%，避免大小悬殊影响摆盘美观。

2. **成熟度**  
   - 供应商须注明采摘时成熟度（如7-8成熟），到货时可直接食用或轻微后熟即可使用。  
   - 过硬（生果）或过软（过熟、有酒味）均不合格。

3. **数量与损耗率**  
   - 每箱/每袋标准数量固定（如每箱苹果36个），净重量误差≤2%。  
   - 到货后破损、腐烂率不得超过2%（以个数或重量计），超出部分供应商无条件补货或扣款。

4. **新鲜度**  
   - 采收时间到送货时间不超过48小时（热带水果可放宽至72小时）。  
   - 货品须为当季新鲜水果，不得使用库存冷藏超过5天的产品。

---

### 二、外观标准（凭目视、触感判断）

1. **色泽**  
   - 水果应呈现品种固有色泽，均匀一致，无异常斑点、黑斑或黄褐斑。  
   - 不允许出现因催熟剂导致的颜色不均、带药斑或药渍。

2. **果形**  
   - 果形端正，无畸形、裂果、缩果或严重突起。  
   - 禁止使用出现皱皮、干疤、伤疤、日灼斑的果实。

3. **表面清洁度**  
   - 表面无泥土、灰尘、虫卵、虫蛀痕迹或残留农药痕迹。  
   - 表皮不得有蜡质剥落或人工涂蜡层异常。

4. **果梗/果蒂**  
   - 果梗应完整、新鲜、无干枯发黑（苹果、梨、葡萄等适用）。  
   - 果蒂处无霉变或渗液。

5. **损伤情况**  
   - 不允许有机械损伤（压伤、碰伤、划伤）、软化凹陷、冻伤或异味。  
   - 切开后果肉无褐变、空心、木质化或异常纤维。

---

### 三、附加要求

- **包装**：外箱内衬防撞材料，每层隔离纸/网套，避免运输碰撞；箱体标注品种、等级、净重、产地、生产日期。  
- **可追溯性**：供应商需提供采摘批次、产地证明或合格证（如需检疫的水果，须附检疫证明）。  
- **试吃样品**：首次合作或每批大货前，提供1-2个样品供酒店试吃，确认甜度、口感达标。

---

### 验收建议

- 到货后按**10%抽检率**开箱抽查，若不合格率超过5%，则整批拒收。  
- 对长期供应商，保留“凡有2次到货不合格即终止合作”的条款。

以上标准实际操作时，可根据酒店档次（如五星级 vs 快捷酒店）适度调整，但规格、新鲜度、表面无损伤是底线要求。
