针对批发商向小店供应香蕉和菠萝，分级报价的清晰度直接影响合作效率与利润。以下为简化的分级标准与报价建议，直接可执行：

### 一、香蕉分级标准（按品相+成熟度）
1. **A级（精品/商超级）**  
   - 果形：完整、无折痕、无严重晒斑  
   - 成熟度：7-8成熟（青转黄，果柄未干裂）  
   - 重量：单根≥150g  
   - 报价：市场均价上浮10-15%

2. **B级（常规零售级）**  
   - 果形：允许少量斑点、轻度碰撞痕  
   - 成熟度：6-7成熟（部分青皮）  
   - 重量：单根100-150g  
   - 报价：按市场均价

3. **C级（促销/加工级）**  
   - 果形：较多黑点、轻微机械伤  
   - 成熟度：5-6成熟（果柄轻微干裂）  
   - 重量：单根<100g  
   - 报价：市场均价下浮20-30%

**报价示例**：  
“A级香蕉3.8元/斤，C级2.6元/斤（附实物照片或样品展示）”

### 二、菠萝分级标准（按成熟度+外观）
1. **一级（即食鲜切级）**  
   - 成熟度：85%-90%黄色果皮（可立即食用）  
   - 外观：无腐烂、无虫蛀、果冠新鲜  
   - 重量：1.5-2.5斤/个  
   - 报价：按斤，比市场均价高5-8%

2. **二级（耐储存级）**  
   - 成熟度：60%-70%黄色果皮（可存放3-5天）  
   - 外观：允许少量青斑、轻微的果冠萎蔫  
   - 重量：1.2-1.8斤/个  
   - 报价：市场均价或略低5%

3. **三级（特惠级/走量级）**  
   - 成熟度：50%以下黄皮（需催熟）  
   - 外观：果皮局部小黑点、轻微疤痕  
   - 重量：1-1.5斤/个  
   - 报价：市场均价下浮15-20%

**报价示例**：  
“菠萝一级3.5元/斤（约4-5元/个），二级3.2元/斤，三级2.8元/斤（支持混批价洽）”

### 三、报价单呈现方式（清晰关键）
- **表格化**：列出等级、外观描述、适用场景、单价（按斤或按个）。  
- **实物标注卡**：按等级随机抽取样品，拍照打印成示意图附在报价单背面。  
- **时效提示**：注明“A级每天限量20斤”“B级现货可发200斤”，用符号（如✅ ✅ ✅）标记库存。  
- **附加条款**：注明“未达标注明的等级支持调换”。

### 四、实际操作提醒
- **区分批发与零售价**：小店进货价需预留10-15%的利润空间（小店可卖出零售价×0.85）。  
- **季节性调价**：菠萝旺季（3-5月）按可食用率报价（如“一级菠萝可食率60%”）；香蕉冬季可按“防寒包装成本”加价0.3元/斤。  
- **测试交付一致性**：每次装货时，拍1-2张各级别实物图发给小店老板确认，避免口头纠纷。

如果需要，我可以帮你把这些标准直接套进你的供应商报价表模板（Excel格式），注明具体数值和空栏。
