判断苹果和橙子大小规格是否适合门店销售，核心看四点：**目标客群、陈列方式、定价带、损耗控制**。下面给你可直接执行的判断标准。

## 一、苹果怎么判断规格

### 1. 按直径分常见档位
苹果通常按横径分：

- **小果**：60–65mm
- **中果**：70–75mm
- **大果**：80–85mm
- **特大果**：90mm以上

### 2. 适合门店销售的标准
- **社区超市/便利型门店**：70–80mm最好卖，家庭一次吃1–2个，价格也容易接受。
- **精品超市/礼盒**：80–90mm更合适，外观整齐、有溢价空间。
- **散卖引流**：65–75mm可做低价堆头，但太小会显得品质差。
- **礼盒/节日团购**：85mm以上，要求果形端正、颜色均匀、无瑕疵。

### 3. 现场快速判断
- 拿一个标准果径圈量：如果一箱里70–80mm占比低于70%，规格就偏乱。
- 看整齐度：同一批苹果大小差异超过10mm，陈列会显乱，不适合做标准陈列。
- 看单果重：70–75mm苹果通常单果重150–200g；80–85mm通常200–280g。
- 看手感：同样大小下，偏轻的可能失水，门店损耗会高。

### 4. 不建议采购的情况
- 大小混杂严重，无法分级。
- 小果低于60mm且占比高，除非做特价引流。
- 大果超过90mm但表皮瑕疵多，礼盒卖不动，散卖又嫌贵。

## 二、橙子怎么判断规格

### 1. 按直径分常见档位
橙子常见按横径分：

- **小果**：55–60mm
- **中果**：60–70mm
- **大果**：70–80mm
- **特大果**：80mm以上

### 2. 适合门店销售的标准
- **日常散卖**：60–70mm最稳，大小适中，剥皮方便，家庭接受度高。
- **社区店/水果店**：65–75mm较好，既有卖相又不至于太贵。
- **精品超市**：70–80mm，要求颜色橙红、表皮细腻、大小均匀。
- **榨汁/特价**：55–65mm可做低价，但要有明显价格优势。
- **礼盒**：75–85mm，果形圆整、无斑点、带叶或新鲜感强。

### 3. 现场快速判断
- 用果径圈抽检：一箱中主规格占比应达到70%以上。
- 看皮厚感：同样大小下，手感偏硬、皮厚的可能出汁率低。
- 看颜色：橙子不是越大越甜，但门店销售要求颜色均匀，青头多会影响购买。
- 看单果重：60–70mm橙子通常单果重120–180g；70–80mm通常180–250g。
- 看整齐度：大小差超过10mm，堆头会显乱，最好分级销售。

### 4. 不建议采购的情况
- 大小混装且没有分级，门店很难定价。
- 小果低于55mm占比高，除非做榨汁或特价。
- 大果超过85mm但皮粗、空壳、干水，顾客复购差。
- 表皮有大量药斑、机械伤，损耗会快速上升。

## 三、门店采购可直接用的判断表

| 品类 | 主销规格 | 精品/礼盒 | 引流/特价 | 关键判断 |
|---|---:|---:|---:|---|
| 苹果 | 70–80mm | 80–90mm | 65–75mm | 大小整齐、硬度好、无伤 |
| 橙子 | 60–70mm | 70–80mm | 55–65mm | 颜色均匀、皮薄、出汁好 |

## 四、采购时建议做3个动作

1. **抽检3箱以上**：每箱随机拿10个，用果径圈量，记录主规格占比。
2. **算可售率**：扣除烂果、伤果、太小果后，可售率低于90%就要压价或拒收。
3. **按门店定位定规格**：
   - 社区日常店：中等规格为主，价格敏感。
   - 精品店：大果、均匀、外观好。
   - 便利店：小包装、中等规格、即食型。
   - 礼盒团购：大果、整齐、无瑕疵。

## 五、简单结论

- **苹果**：门店日常销售优先选**70–80mm**，礼盒选**80–90mm**。
- **橙子**：门店日常销售优先选**60–70mm**，精品选**70–80mm**。
- 不管苹果还是橙子，**同一批大小整齐度比单纯大小更重要**。主规格占比低于70%，就不适合做标准门店陈列，只适合特价或分级处理。
