有。佳农（Goodfarmer）有针对礼品和团购场景的水果礼盒，但具体产品和政策会随季节、地区、渠道变化，建议按下面方式核实和采购：

1. **常见礼盒类型**
   - 进口水果礼盒：如佳农香蕉、菠萝、椰青、车厘子等组合礼盒。
   - 国产精品水果礼盒：如苹果、橙子、猕猴桃、葡萄等产地直采礼盒。
   - 企业定制礼盒：可做LOGO、贺卡、外箱定制，适合员工福利、客户答谢。
   - 节令礼盒：春节、中秋、端午等节点会有专门礼盒和团购套餐。

2. **团购渠道**
   - **佳农官方渠道**：官网、官方公众号/小程序、官方客服，适合确认企业团购。
   - **电商平台**：京东、天猫等旗舰店，部分支持企业购或批量下单。
   - **线下批发/经销商**：大型水果批发市场、区域经销商，适合大批量采购和谈价。
   - **企业福利平台**：部分员工福利平台会接入佳农礼盒。

3. **询价时需要问清楚**
   - 起订量是多少
   - 是否支持混搭、定制包装、贴牌
   - 是否含运费、能否一件代发
   - 开票类型和税率
   - 售后标准：坏果率、赔付方式、补发时效
   - 节前截单时间和到货时效

4. **判断建议**
   - 如果是**小批量送客户**：优先看京东/天猫旗舰店或官方小程序，方便且售后清晰。
   - 如果是**企业批量采购**：直接联系佳农官方客服或区域经销商，谈团购价、定制和开票。
   - 如果是**节令紧急采购**：至少提前2—4周确认档期，春节、中秋前通常更紧张。

如果你告诉我采购数量、预算、城市和用途（员工福利/客户送礼），我可以帮你缩小到更具体的采购路径和询价话术。
