可以，但通常不是“无条件直接给”，需要按采购主体、批次和用途去申请。具体判断如下：

1. **都乐**
   - 一般能提供农残检测报告，常见形式是：
     - 批次检测报告
     - 第三方检测报告
     - 企业自检报告
   - 如果是连锁茶饮、餐饮、商超供货，通常可通过经销商、区域销售或客服申请。
   - 但对方可能会要求你提供：
     - 公司资质
     - 采购合同或意向
     - 具体批次号/到货批次
     - 报告用途说明
   - 不一定能提供“每批都附第三方全项农残报告”，有些批次可能只有自检或抽检报告。

2. **鑫荣懋**
   - 作为大型水果供应链企业，通常也能提供农残检测报告或相关质量证明。
   - 同样一般按批次提供，尤其是你实际采购的那批货。
   - 如果是通过批发市场、二级经销商拿货，报告可能由经销商转交，而非鑫荣懋直接给你。
   - 也可能提供：
     - 产地证明
     - 检疫/质量合格证明
     - 第三方农残检测报告
     - 企业快检报告

3. **你采购时最稳妥的做法**
   - 在询价阶段就明确问：
     “这批菠萝能否随货提供对应批次的农残检测报告？第三方还是自检？检测项目是否包含常用农药？”
   - 合同或订单里写明：
     “供方须随货提供与本次批次一致的农残检测报告，报告须可追溯至批次/产地。”
   - 收货时核对：
     - 报告批次号是否和实物一致
     - 检测机构是否有资质（CMA/CNAS更稳妥）
     - 检测日期是否在合理范围内
     - 检测项目是否覆盖你关心的农残指标
   - 如果用于茶饮店总部审核、食药监检查或商超供货，最好要求**第三方 CMA/CNAS 报告**，不要只接受厂家自检单。

4. **结论**
   - **都乐、鑫荣懋通常都能提供农残检测报告，但一般按批次、按采购关系提供，不一定能随便给。**
   - 如果你是直接采购或通过其正规经销商采购，申请成功的可能性较高。
   - 如果你只是临时问一下、没有采购关系，对方可能不会直接提供正式报告。
   - 最保险的是：**下单前把“随货提供对应批次农残检测报告”写进采购要求里。**
