酒店采购水果盘原料时，供应商应保证以下规格和外观标准：

### 规格标准
1. **尺寸统一**：水果应大小均匀（如草莓、葡萄、蓝莓等），无明显差异，便于摆盘。
2. **重量明确**：按协议标注每份原料的净重（如整盘或单果重），误差控制在±5%以内。
3. **成熟度**：水果需达食用成熟度，不过生或过熟（如芒果软硬适中、香蕉无青斑）。
4. **新鲜度**：采购当日或前一日采摘，无萎蔫、干缩或失水现象（如柑橘表皮紧实、西瓜无软塌）。
5. **品种纯度**：按订单提供指定品种（如红富士苹果而非普通苹果，进口车厘子而非本地酸樱桃）。

### 外观标准
1. **色泽鲜亮**：表皮自然、无褪色或病斑（如草莓鲜红无白尖、猕猴桃金黄均匀）。
2. **无损伤**：无机械压痕、碰撞瘀伤、虫蛀孔洞或划痕（如苹果无磕碰黑斑、梨无刮擦皮破）。
3. **无病斑/霉变**：无黑点、霉斑、腐烂区域（如葡萄无发霉、橙子无绿霉烂点）。
4. **表面清洁**：无泥土、农药残留、蜡质（若允许食用蜡则需标明）或粘附异物（如树叶、虫体）。
5. **气味正常**：无异味（如腐烂酸味、化学药剂味），保留天然果香。

### 备注
- 供应商需提供合格证明（如农药残留检测报告、产地及采摘日期记录）。
- 若为切分原料（如蜜瓜块、菠萝片），还需保证切口平整、无氧化变色、厚度均匀。
- 长期合作建议附样品验收标准照片或实物对比样。
