生鲜平台做水果一件代发，供应商的仓配能力不宜只看“有没有仓、有没有快递”，而要看能否稳定兑现“按单发货、时效可控、损耗可赔、售后可追”。通常需要具备以下几类能力：

1. **多SKU、小批量拣货能力**
- 支持按订单逐单拣货，而不是只发整车/整批。
- 有波次拣货、边拣边分、称重贴单、复核打包流程。
- 能处理组合装、多规格、赠品、预售单、限购单。

2. **水果分级与标准化能力**
- 能按平台标准做果径、糖度、成熟度、外观、重量分级。
- 有次果剔除机制，避免“图片一级果、实物统货”。
- 对易损果能做单果保护、分层摆放、缓冲包装。

3. **包装与温控能力**
- 按水果品类选择泡沫箱、珍珠棉、纸箱、冰袋、吸水纸、气调袋等。
- 冷藏/保鲜库、预冷、催熟或控熟能力要匹配品类。
- 夏季高温、冬季防冻要有对应方案，不能全国一套包装。

4. **库存与订单系统对接能力**
- 能对接平台订单，支持API/表格/ERP推单。
- 库存实时同步，避免超卖；支持锁定库存、释放库存、预售库存。
- 能回传发货单号、物流轨迹、称重信息、批次信息。

5. **快递与区域时效能力**
- 有稳定合作的快递/专线，能按区域、品类、时效选择渠道。
- 能承诺发货时效，如24小时、48小时揽收。
- 能覆盖平台主要销售区域，偏远地区有明确禁发或加价规则。
- 对高客单水果可提供顺丰/京东等时效件。

6. **损耗控制与售后处理能力**
- 有坏果率控制标准，如≤3%、≤5%等，并写进合同。
- 能按订单批次追溯采摘、入库、打包、发货时间。
- 支持补发、退款、赔付，能提供坏果照片/视频审核流程。
- 有售后责任划分：物流延误、暴力分拣、成熟度问题、冻伤/热伤等。

7. **产能与波峰应对能力**
- 日单量不是只看平均，要看大促、直播、节假日峰值。
- 能临时增加打包工位、冷库暂存、快递揽收频次。
- 爆单时不轻易超卖、不延迟几天发货。
- 有备用包材、备用快递、备用产地调货能力。

8. **产地直发与多仓能力**
- 单产地直发成本低，但时效和品类覆盖有限。
- 多仓布局能缩短时效，但管理复杂度高。
- 供应商至少要能明确：哪些品类从哪个仓发、覆盖哪些区域、承诺几段时效。

9. **资质与合规能力**
- 营业执照、食品经营/生产相关资质按平台要求提供。
- 产地证明、检测报告、农残报告等可随批次提供。
- 能开票，能配合平台做品质抽检和飞行检查。

10. **数据与复盘能力**
- 能提供发货及时率、揽收及时率、破损率、坏果率、售后率、客诉原因。
- 能按周/月复盘，并针对高售后区域调整包装或快递。
- 能配合平台做批次质量追踪和供应商评分。

实操判断时，可以重点问供应商这几点：
- 日均单量、峰值单量、当前合作平台案例。
- 发货时效、揽收时效、主要快递和禁发区域。
- 坏果率承诺、赔付标准、补发时效。
- 是否支持平台订单API对接、库存实时同步。
- 包装方案是否分品类、分季节、分区域。
- 能否提供近30天发货及时率、售后率、坏果率数据。

如果要做一件代发水果，供应商最核心的不是“仓有多大”，而是：**订单能接、货能按标准分、包装能抗运输、快递能保时效、坏果能赔、数据能追。** 这六项缺一项，代发模式都很容易出现售后爆炸。
