以下是针对超市水果区提升客单价的组合促销方案：

**推荐组合：热带活力套餐**
- **商品**：香蕉（1把）+ 菠萝（半个）+ 苹果（3个）
- **定价策略**：
  - 建议总价设定为原价之和的**85%**（例如原价共30元，套餐价25.5元）
  - 同时设置“满减阶梯”：购买本套餐可再享满30元减5元（若额外搭配酸奶或果汁）
- **陈列与话术**：
  - 堆头陈列，用暖色灯光突出菠萝，旁边立牌写“早餐搭配、能量满分”
  - 引导话术：“香蕉快速补充能量，菠萝助消化，苹果耐储存，一家三口1-2天量正合适”

**执行细节**：
1. **价格对比**：保留单品原价标签，旁边用红字标示套餐节省金额（如“立省4.5元”）
2. **关联商品**：在组合旁放置切片菠萝试吃，并在冷柜安放酸奶堆头，提示“套餐+酸奶减10元”
3. **限时策略**：单日限购，早市/晚市各限量50份，制造稀缺感

**风险控制**：
- 避免香蕉过熟：取7成熟香蕉，贴“到家即可食用，建议2天内吃完”提示
- 菠萝切半去芯：解决消费者“不好处理”的痛点，提高打包效率

**效果预判**：
- 客单价：从单品均值15元提升至25-30元
- 复购率：通过“当季水果套餐卡”（买5次送1次）锁定回头客

建议试运行3天，关注下午4-6点高峰期转化率。
