为茶饮店采购香蕉时，控制熟度需考虑最终用途及出品效率。以下是具体建议：

1. **根据用途选择熟度**  
   - **做冰沙/奶昔**：选用**熟透**的香蕉（表皮出现黑色斑点、手感微软），甜度最高且易打碎，无需额外加糖。  
   - **做蛋糕/松饼**：使用**中等熟度**（皮色金黄、稍硬但有弹性），搅拌后不易过度糊化，保留果肉颗粒感。  
   - **做装饰或夹层**：选**八成熟**（皮色黄绿，果肉紧实），常温存放1-2天可达到最佳状态，减少损耗。

2. **采购时的判断标准**  
   - **观色**：需根据到货后使用时间决定。若当天或次日使用，选表皮带少量黑斑（7-8成熟）；若2-3天后使用，选表皮全黄但无斑点的（5-6成熟）。  
   - **手感**：轻捏香蕉柄部（非果肉），稍软即成熟；过硬则需催熟。避免采购表皮发黑、果肉透明或渗水的过熟品。  
   - **闻味**：成熟香蕉有明显果甜香气，生香蕉无味，过熟则有酒精味。

3. **到货后催熟与保存**  
   - 未达熟度：将香蕉与苹果或番茄一起放入纸袋，室温下静置1-2天（避免密封塑料袋，防止霉变）。  
   - 短期保存：熟香蕉放入冰箱冷藏，果皮会变黑但果肉不变质，适合3天内用完。  
   - 库存管理：按“最先熟先用”原则，每天检查成熟度，优先使用斑点多、手感软的香蕉。

4. **避免常见问题**  
   - 避免一次性采购过多，按日销量决定批次，建议每次采购量不超过3天用量。  
   - 若需稳定供应，可要求供应商提供不同熟度分装（如一半半熟、一半成熟），或采用冷冻香蕉泥（成分表仅含香蕉）作为备选方案。

通过分用途采购、量化到货时间点、配合催熟/冷藏手段，可有效控制香蕉熟度，减少浪费并保持出品一致性。
