处理单位采购水果到货品质不一致的情况，建议按以下步骤进行验收和售后，既保证合规性又减少损失：

### 一、验收环节（现场必做）
1. **明确标准**：验收前确认采购合同或订单中是否写明水果的等级（如一级果、特级果）、规格（如直径、重量）、成熟度（如7成熟）及允许的瑕疵率（如破损≤3%）。
   
2. **现场抽样**：对整车或整批水果，至少抽取15%-20%的箱/袋进行开箱检查。注意随机抽不同位置（如上层、中层、底层）的货物。

3. **量化记录问题**：
   - 拍照/录像：对混有坏果、大小不一、颜色差异明显的部位拍摄，并标注箱号、物流单号。
   - 填写《验收记录单》：记录总数量、不合格数量、不合格类型（如腐烂、机械伤、未熟果）、偏差比例。
   - 称重留证：若存在缺斤少两，对问题货物单独称重并存证。

4. **现场判定是否接收**：
   - 若不合格率≤合同约定范围（常见为3%-5%），可先接收，但标记问题批次，后续做降级处理（如用于榨汁或内部福利）。
   - 若不合格率过高（如超过10%），拒收全部或部分，并当场要求物流/供应商签字确认拒收原因。

### 二、售后处理措施
1. **立即联系供应商**：验收后1小时内（或合同约定时限），附上照片/视频、《验收记录单》、沟通记录（推荐用书面形式如邮件、群聊），明确提出：
   - 要求补发合格数量（如补20箱一级果）
   - 或按比例折价（如不合格部分按7折付款）
   - 或全单退货（需双方确认退货运输及费用承担）

2. **索赔计算依据**：
   - 按重量或数量折算：例如到货100箱，5箱腐烂，可要求退5箱货款或补5箱好果。
   - 如合同默认为“允许3%损耗”，超出部分（假设实际7%损耗）可索赔超出4%对应的金额。

3. **争议升级方案**：
   - 若供应商推诿，保留第三方检验（如调取物流运输温度记录、请质监站出检验报告）的证据。
   - 在付款时保留10%-20%质保金（建议合同中提前约定），到货后15天内无问题再付清。

### 三、注意事项
- **避免口头沟通**：所有售后交涉保留文字或录音证据。
- **提前约定标准**：采购合同或订单中必须写明水果的“可接受瑕疵率”，例如“允许≤5%的轻微压痕果，不允许有腐烂果”。
- **针对易腐水果（如草莓、荔枝）**：建议在到货后6小时内完成验收，并当场冰桶预冷处理。

示例操作话术：“张总，今天贵司送来的蜜瓜，我们随机抽查了20箱，其中4箱底部有发霉斑，占抽查量的20%，远高于合同允许的3%标准。按合同第X条，我们暂时拒收这批货，请尽快安排补发或派人来现场核对。”
