针对长期合作的水果供应商，**最值得优先谈的是“账期”**，其次是“售后”，最后是“配送”。

理由如下（按优先级排序）：

**1. 账期（最优先）**
- **核心逻辑**：水果是**高损耗、易腐坏**的品类，资金占用成本极高。
- **为什么优先**：如果你是采购方（如商超、批发商、餐饮），**账期直接决定你的现金流安全**。水果不是标准工业品，不能退货给上游，一旦滞销就是纯亏损。谈下更长的账期（如从现结改为15-30天），相当于供应商给你无息贷款，能显著降低你的经营风险。
- **谈判建议**：不要只谈“延长天数”，可以分阶梯谈（例如：首批合作30天账期，连续供货3个月且无严重质量投诉，可延长至45天）。同时约定**“质量不达标可无条件退货并顺延账期”**，这是你的护身符。

**2. 售后（次优先）**
- **核心逻辑**：水果的售后问题（腐烂、重量不足、口感不符）是**即时性**的，处理不及时会直接砸掉你的客户口碑。
- **为什么其次**：账期是“救急”，售后是“止损”。如果账期长但售后扯皮，货砸手里照样亏钱。售后谈判的核心是**明确责任边界**：比如“到货12小时内可开箱验货，烂果率超5%的部分按1.5倍货款赔付”或“调换货费用由供应商承担”。
- **注意**：售后谈判要放在账期之后，因为如果账期能拿到45天，供应商通常不敢在售后上太强硬（怕你到账期不付钱）。

**3. 配送（最后谈）**
- **核心逻辑**：配送是**服务成本**，可替代性强，且容易量化。
- **为什么放最后**：市面上配送服务（冷链车、次日达）几乎所有供应商都能提供，溢价空间小。如果前两项谈崩了，配送谈得再好也是白搭。
- **谈判建议**：只谈“最低送货频次”和“到货时间窗口”（例如：每日上午10点前必须到货），但**不要在这项上投入过多精力**。尽量要求“单次配送费用含在货价里”，避免拆分成额外费用。

---

**最终行动建议**：
1. 优先争取**45-60天的账期**（根据水果耐储存程度调整，芒果、香蕉类可压缩，苹果、柚子类可拉长）。
2. 和供应商约定**“到货抽检不合格则整批拒收，且不占用账期天数”**，这比单纯谈售后更实际。
3. 配送只要保证“准时率≥98%”即可，不用过度纠结。

**特别提醒**：如果供应商是小批发商，可能账期最多只能给到30天，这时就别强硬了，改用“缩短账期换更优惠单价”来平衡。**最终检验标准是：你账面的资金周转天数必须低于账期天数，否则谁谈都一样会资金断裂。**
