好的，针对水果店减少香蕉损耗的问题，以下是关于采购时对熟度和到货时间的明确要求建议：

### 1. 熟度要求
- **目标成熟度**：采购时要求香蕉的成熟度在 **7-7.5成**（果皮颜色以**黄绿相间、以绿为主**，果体硬实，无软化或黑斑）。
- **具体标准**：
  - 避免采购全绿（未熟）或全黄（已熟）的香蕉。
  - 要求供应商提供的香蕉在运输过程中保持**青绿状态**，抵店后通过自然催熟（如放置于20-25℃环境，或配合苹果/乙烯利）控制上市时间。
- **可执行要求**：在采购合同中明确标注“到货时果皮绿色占比≥60%，果肉硬度适中，无软果或腐烂”。

### 2. 到货时间要求
- **最佳到货时间**：**每周2-3次**（例如周一、周四到货），避免单次囤货过多。
- **具体时间点**：要求**上午到货**（如9:00-11:00），这样可以在当天上午完成分拣、上架，避免隔夜积压。
- **库存控制**：每次到货量以**2-3天销量**为上限（例如日均卖50把，则一次进100-150把）。
- **灵活调整**：根据销售节奏，周末/节假日前1天增加一次到货，平时减少单次量。

### 3. 沟通与合同要点
- **书面要求**：在采购协议中写明：“香蕉到货时成熟度控制在7-7.5成，不得有全熟或变质果；到货频率为每周X次，每次到货时间为X点前，逾期或成熟度不符可拒收。”
- **应急方案**：若遇天气或物流延迟，提前与供应商沟通可调货的备用方案（如附近批发市场当日补货）。

### 总结操作清单：
1. 指定成熟度：7-7.5成（黄绿比例2:8）。
2. 规定频率：每周2-3次，上午到货。
3. 控制单次量：按2-3天销量采购。
4. 合同明确标准并保留拒收权。

这样既能保证香蕉上架后3-5天内处于最佳口感期，又能最大限度减少因熟度过高或库存积压导致的损耗。
