水果店卖菠萝，核心不是“哪种最好”，而是**按顾客类型和你的损耗能力分层卖**。最稳的做法是：**整果 + 现削服务为主，预削果切为辅，不建议让顾客自己动手挑。**

具体建议：

1. **整果必须卖**
   - 菠萝耐放，整果损耗最低。
   - 很多顾客喜欢自己回家削，或者觉得整果更新鲜。
   - 整果可以按个卖，也可以按斤卖，适合家庭客。

2. **去皮好的可以卖，但要控量**
   - 去皮菠萝、菠萝块适合上班族、学生、即买即吃的人。
   - 优点是方便、客单价可能更高。
   - 缺点是削好后保质期短，夏天几小时就可能发酸、出水、变色。
   - 所以不要一上来削一大堆，最好**现削现卖**，或者少量预削、冷藏展示。

3. **不要让顾客自己挑削好的**
   - 削好的菠萝已经去皮，顾客翻来翻去容易污染、压坏。
   - 而且顾客挑剩的品相变差，最后只能降价或报损。
   - 可以做成透明盒装、标价清楚，由店员拿。

4. **如果让顾客挑，应该挑整果，不是挑削好的**
   - 整果可以让顾客自己选，但最好给建议：看颜色、闻香气、按一下底部。
   - 你可以贴个小提示：**“整果可自选，削皮请找店员。”**

5. **最推荐的组合**
   - 整果区：顾客自选，按个/按斤卖。
   - 现削区：顾客点单，店员现场削，收削皮费或直接算进单价。
   - 果切区：少量预削盒装，冷藏卖，当天清。
   - 特价区：外观差一点但没坏的整果，低价快走。

6. **关键看你的客流**
   - 社区店、家庭客多：整果为主，现削服务为辅。
   - 商圈店、写字楼、学校附近：预削盒装和现削杯装更重要。
   - 如果人手少：少做预削，多做整果，避免削完卖不掉。

一句话：**整果让顾客挑，削好的由店员控制，现削现卖最稳。**  
如果你告诉我你的店在社区还是商圈、一天大概卖多少菠萝，我可以给你一个更具体的进货和削果比例。
