批发档口降低退货纠纷，**核心在于“事前约定”和“事中留痕”**。以下是一套可落地的收货验货操作指南，建议按流程执行：

### 第一步：收货前（约定规则，防患于未然）
1. **书面明确验收时限**：在下单时或发货前，在旺旺/微信/合同中明确告知：“收货后**24小时内**（或48小时，按实际体力定）完成验收，超时视为默认验货无误”。
2. **明确退换货标准**：只接受“明显质量问题”或“发错货”的退换，**不支持“款式不喜欢”“大小不合适”等主观原因**（除非你承诺了无条件退换）。
3. **限定破损处理方式**：明确“物流破损需在签收时当面拒收或拍照+拒收，签收后不承担物流破损”。

### 第二步：收货时（按流程拆包）
1. **先看外包装**：当着快递员面检查外箱是否有凹陷、水渍、破损。如有，**立即拍照（含快递单号）并拒收**，或要求快递员签字确认破损。
2. **再核对总数**：拆包时先数大件数量（如箱数、袋数），与送货单/清单总数核对，不一致当场拒收或记录。
3. **最后抽检细节**：按拆包顺序，随机抽取10%-20%进行质量抽检（颜色、尺码、瑕疵、针脚）。**切勿全部拆开**，否则影响二次销售，会成为退货争议点。

### 第三步：验货时（留证据链）
1. **全程录像开箱**：用手机录下“快递单号+外箱状态+开箱过程+抽检动作”。视频文件保留**至少30天**。
2. **出现问题立刻拍照留底**：发现质量问题，拍清瑕疵部位+整件衣服全貌+快递面单，三张图合一发到沟通群。
3. **错误登记**：发现发错货/漏发，**先在快递单上备注（如“缺1件XX货”）**，再在群里文字确认，不要只靠语音。

### 第四步：验货后（及时反馈）
1. **超时未反馈视为认可**：如果客户超时未反馈，保留聊天记录/系统记录，后续以“超时未验收”为由拒绝退货。
2. **处理异常要书面确认**：若客户反馈问题，要求对方提供**清晰视频（非截图）**，并在你确认后，才同意“补发、换货或退款”，不要口头答应。

### 特别提醒（针对批发客户的潜规则）
- **“剪标/吊牌拆除”即视为已验收**：如果你发货时仔细检查并剪掉吊牌，要在发货前提前说明。
- **“不接受散批混挑”**：如果客户要求“整包开箱后不要XX颜色的”，直接拒绝，这是线上批发大忌，否则退货率极高。

**总结一句：** 让客户“有问题当场说，超时默认无问题”，自己做到“发货前严查、发货时留底、到货后录视频”。这套流程坚持一个月，退货纠纷率至少降一半。
