批发商在谈水果品牌代理时，区域保护和串货是必须提前问清的核心条款。下面给你一套可以直接用的问法，分成“问什么”和“怎么问”两部分。

## 一、必须问清的7个问题

**1. 区域范围**
- 我代理的是哪个具体区域？是省、市、还是区县？
- 这个区域是独家还是非独家？
- 区域内是否已经有其他代理？如果有，怎么处理和我重叠的部分？

**2. 保护力度**
- 品牌方是否承诺不在我区域内直接供货给其他批发商或终端？
- 线上渠道（电商、直播、社区团购）算不算串货？如果品牌方自己线上卖，发到我区域的货怎么算？
- 我区域内如果有品牌方直营或合作的大型连锁，是否也算我的业绩或给我补偿？

**3. 串货定义**
- 什么行为算串货？跨区域销售、低价倾销、还是只要货出了我的区域就算？
- 串货的判定标准是什么？靠物流码、批次号、还是举报？
- 如果发现串货，品牌方怎么查、多久给答复？

**4. 处罚与赔偿**
- 串货方被查实后，品牌方对他怎么处罚？罚款、扣保证金、还是取消代理？
- 对我这个被窜货的代理，有没有补偿？补偿标准是什么？
- 如果品牌方自己或他的其他代理窜货，我能不能索赔？怎么赔？

**5. 价格与渠道管控**
- 品牌方有没有统一零售价或最低出货价？如果有，怎么执行？
- 我能不能自己定批发价？有没有价格红线？
- 线上销售我能不能做？如果能，平台和价格有没有限制？

**6. 考核与退出**
- 区域保护有没有前提条件？比如我必须完成多少销量才继续保护？
- 如果我没完成考核，区域保护会不会被取消？
- 我退出时，库存怎么处理？保证金怎么退？

**7. 证据与执行**
- 串货取证谁负责？是我举证还是品牌方主动查？
- 品牌方有没有专门的窜货投诉渠道？处理时效是多久？
- 如果品牌方不执行保护条款，我有什么救济手段？

## 二、怎么问更有效

**1. 别只问“有没有保护”，要问“怎么保护、怎么罚、怎么赔”**
很多品牌方嘴上说“有区域保护”，但合同里只写一句“原则上不窜货”，没有处罚和赔偿，等于没有。你要逼对方把执行机制写进合同。

**2. 用具体场景逼对方表态**
比如直接问：
- “如果我隔壁市的代理把货低价卖到我这边，你们怎么处理？多久处理？赔我多少？”
- “你们自己直播带货，发到我区域的货，算不算我的销量？”
- “我区域内的大客户，你们能不能直接供？如果能，给我什么补偿？”

**3. 要求写进合同，不接受口头承诺**
关键条款必须落在书面合同里，包括：
- 区域范围（附地图或明确边界）
- 独家性
- 串货定义
- 处罚标准
- 赔偿标准
- 处理时效
- 品牌方自身线上/直供行为的约束

**4. 问清楚“保护”的对价**
区域保护通常和销量任务挂钩。你要问：
- 任务是多少？按月还是按年？
- 完不成会怎样？保护取消还是降级？
- 任务合理吗？有没有淡旺季调整？

**5. 留好证据**
谈的时候尽量用微信、邮件等可留存的方式沟通，或者让品牌方把政策写成书面文件。以后真出串货，这些就是依据。

## 三、一句话总结

问区域保护，核心是问清：**我的区域是哪里、独家不独家、品牌方自己和其他代理能不能进来、进来怎么罚、我被窜货怎么赔、这些能不能写进合同。** 只谈感情不谈条款的代理，后面大概率扯皮。
