这个问题得先拆清楚："愿意签年单"这件事，鑫荣懋和洪九果品的态度其实不由它们的偏好决定，而由**你的采购体量、品类、结算条件**决定。直接说谁更"愿意"是不准确的，因为两家商业模式差异很大。

## 两家的核心差异

**鑫荣懋**：主业是进口水果（奇异果、车厘子、蓝莓等）和国产精品水果的供应链，客户结构偏商超、电商、连锁餐饮等大B端，本身就习惯做**年度框架协议+滚动下单**的模式。对年单接受度天然较高，但通常要求：
- 有明确的年度预估量或保底量
- 账期和结算条件清晰（很多走月结）
- 品类相对聚焦，不是什么都采

**洪九果品**：核心是进口水果（尤其是泰国榴莲、山竹、龙眼等东南亚水果）的端到端供应链，模式偏"品牌+渠道分销"，历史上更依赖**大客户直供+批发市场分销**两条腿。它对年单的态度取决于你是不是它想锁定的核心渠道客户——如果是，它愿意用年单锁量；如果量不够，它更倾向灵活报价。

## 判断谁更愿意，看这几点

1. **你的年采购量级**：这是决定性因素。两家都是量级驱动，量够大，谁都愿意签年单；量小，谁都倾向一单一议。
2. **品类匹配度**：如果你主要采东南亚进口水果，洪九的匹配度更高，谈年单更顺；如果品类杂、含大量国产精品或欧美进口，鑫荣懋更合适。
3. **结算和账期**：年单本质是"用确定性换价格"。你能接受保底量+稳定账期，两家的意愿都会显著提升。
4. **你要的是锁价还是锁量**：锁量比锁价容易谈成，锁价在水果这种价格波动大的品类里，供应商普遍谨慎。

## 可执行建议

- **别问"谁更愿意"，直接拿条件去谈**：准备一份包含年度预估量、品类结构、结算方式、账期、违约条款的需求书，同时发给两家的对应销售，看谁给的年单条款更实。
- **先小单试合作再谈年单**：水果行业信任靠履约积累，直接谈年单容易谈到"框架"而非"实单"。
- **注意洪九的公开风险**：洪九果品近几年有公开的财务和经营波动（港股停牌、审计问题等），签长期年单前务必核实其当前的履约能力和财务状况，这是实打实的风险点，不是偏好问题。
- **鑫荣懋相对更稳**，但年单条款通常更"标准化"，议价空间可能不如洪九灵活。

一句话：**量够、品类匹配、结算清晰，两家都愿意；量不够或只想锁价不锁量，两家都犹豫。** 与其猜态度，不如把条件摆上桌比条款。
