关于**都乐（Dole）**和**洪九果品**的礼盒团购起订量，由于这两家企业主要面向B端大批量供应，**公开渠道通常不公布具体数字**，起订量会直接与销售区域、当季水果品种、包装规格（如3kg/5kg/6粒装）以及是否需要定制LOGO等因素挂钩。

为了给你可执行的建议，建议你按以下步骤操作：

1. **直接联系区域经销商/大客户部**（最准确）：
   - **都乐**：官网有“商务合作”入口，或直接拨打官方客服询问当地经销商电话。都乐的常规起订量通常较高（如**几百箱起**），具体看品项。
   - **洪九果品**：是大型进口水果分销商，一般以**整车/整柜**交易为主，但礼盒定制部门可能接受**几百盒起订**，具体要谈。

2. **给一个大概的参考数字**：如果你在二三线城市做企业礼品，且定制非通用包装，行业惯例上，**100-300盒**属于比较有可能谈下来的门槛；若只改腰封/贴标而不开新模具，可能几十盒就能商量，但这完全取决于对接的业务人员。

3. **先明确你的需求再打电话**：这能大幅提高沟通效率，建议你准备好：
   - 礼盒规格（如6个装、8个装）；
   - 预计总采购量（箱数）；
   - 发货城市及是否需要冷链；
   - 定制程度（现成礼盒贴标 / 专版印刷）。

**如果时间紧**，可以先找几个**当地水果批发市场的大档口**，他们有现成的都乐/洪九供货渠道，且单量要求远低于厂家，更配合小额定制。

⚠️ 提醒：不要依赖网络搜索中的模糊“几千件起”信息，因为市场行情波动大，**直接打电话要报价单最靠谱**。
