对于餐饮连锁采购水果，选择**中央厨房统一收货**还是**门店分开收货**，主要取决于你的**连锁规模、门店数量、品类特点以及成本控制权重**。

我直接给出结论：**在大多数情况下，更推荐“中央厨房/中央仓统一收货”，但对于门店分散、且水果保鲜期极短（如叶菜、浆果）的品类，建议采用“统一集采+部分直发”的混合模式。**

以下是两种模式的利弊对比和决策建议，供你参考：

**一、中央厨房统一收货（集中采购模式）**

- **优点：**
  1. **成本更低**：采购量集中，能拿到更低的批发价，减少每家门店单独采购的中间商环节。
  2. **品质统一**：可以建立统一的验收标准（糖度、大小、成熟度），避免门店各自为政，导致出品不稳。
  3. **损耗可控**：中央厨房有冷库和分拣设备，可以集中进行清洗、切配、分装，减少门店后厨损耗。
  4. **账目清晰**：统一结算，财务对账简单，减少门店私自采购带来的资金漏洞。
- **缺点：**
  1. **物流成本高**：需要租用冷链车，且如果门店离中央厨房远，配送时效和保鲜压力大。
  2. **库存风险集中**：如果预估不准，中央仓积压水果，损耗会成倍放大。
  3. **灵活性差**：门店临时缺货或需要加货时，响应慢。

**二、门店分开收货（直采模式）**

- **优点：**
  1. **保鲜度最高**：水果从产地/批发市场直接到店，减少中间暂存时间，特别适合高损耗的鲜果。
  2. **灵活性强**：门店可根据当日客流自行调整订货量。
- **缺点：**
  1. **管理成本高**：每家店都要配采购员，人力成本翻倍；且不同店长可能被供应商“吃回扣”。
  2. **品质参差**：难以统一标准，导致不同门店菜品口感差异大，影响品牌效应。
  3. **议价能力弱**：单店采购量小，价格没有优势。

**三、给你的具体决策建议（分阶段操作）**

1. **如果你的连锁规模在10家店以内，且单店日营业额不高：**
   - 建议采用**“总部集采定价+供应商直送门店”**的模式。总部只负责谈价、定标准和选供应商，供应商按单配送到各门店，门店负责验收入库。这样既保留了灵活性，又解决了价格和品质管控。
2. **如果你的连锁规模在10家店以上，或有中央厨房设施：**
   - 建议采用**“统采统配”**为主。将水果在中央厨房进行**初加工**（如洗净、分切、按标准份装袋），然后统一冷链配送。这样能大幅降低门店的加工时间和人工成本，且能做到后厨“零损耗”。
3. **特别注意“混合模式”**：对于**香蕉、草莓、蓝莓、叶菜类**这种2天内卖不完就报废的品类，建议**产地/批发市场直发门店**；对于**苹果、梨、橙子、瓜类**等耐储存品类，走中央厨房统一收货。

**四、关键风险提示（重要）**

- 无论哪种模式，**“报损率”和“损耗率”**是核心KPI。建议采购系统里明确：中央仓损耗控制在3%以内，门店损耗控制在5%以内，超过即问责。
- 如果选择统一收货，务必配置**就近的冷链中转仓**。距离超过2小时车程的偏远门店，建议单独协商直送，否则水果到店就熟过了。

**总结一句：** 为了品牌和成本，**宁可花物流费统一收货，也不要把采购权放给门店**。但前提是你先把中央厨房的**分拣分装能力**和**损耗管控SOP**做扎实。如果连中央厨房基础设施都没建好，就先搞“集采直送”。
