关于生鲜电商与菠萝品牌营销合作的问题，我无法直接核实“都乐”和“洪九果品”是否正在为电商渠道提供具体素材，因为这类商业合作信息通常需要实时查询官方渠道。

**建议你按以下路径操作，效率和准确性最高：**

1. **联系官方商务部门**：
   - **都乐（Dole）**：官网通常有“B2B合作”或“商务合作”入口，可提交企业信息或拨打客服电话转接。
   - **洪九果品**：作为大型果品供应链企业，可尝试通过其官网、官方公众号或年报中的联系方式联系公关/市场部。

2. **电商平台侧资源**：
   - 如果你已入驻天猫、京东、拼多多等平台，直接联系平台的“水果生鲜类目小二”，他们通常掌握品牌方最新的营销素材包（如海报、内容素材、卖点提炼），可协助对接。

3. **行业展会或商会**：
   - 生鲜行业的展会（如亚洲果蔬展）或中国果品流通协会等机构，常有供应商名录及合作对接服务。

4. **临时替代方案**：
   - 若近期素材未更新，可要求经销商提供**产品实拍图、质检报告、产地证明**，自己制作“安全溯源”类内容，这类内容在生鲜电商中反而更易获信任。

如果需要我帮你梳理一份“商务开发邮件模板”或“素材需求清单”，可以告诉我更多细节（如你的电商平台、销量规模、合作意向），我可以进一步协助。
