可以，但通常不是“默认全包”，而是按合作条件谈。超市做水果促销时，供应商常见能提供这几类支持：

1. **陈列支持**
   - 提供陈列道具、堆头围挡、价签插卡、展示篮、托盘、假底等。
   - 派业务员或促销员到店帮忙做“地堆、端架、岛柜”陈列。
   - 给出陈列标准：主推单品放黄金位、按颜色分层、按大小分级、关联搭配。
   - 有些供应商能承担部分陈列费用，比如堆头费、端架费、条码费。

2. **海报/宣传支持**
   - 提供产品图、卖点文案、产地故事、检测报告、品牌LOGO。
   - 承担部分DM海报费、爆品海报位费用。
   - 提供爆炸卡、跳跳卡、围挡、展架、吊旗等物料。
   - 如果是品牌供应商，可能给统一形象物料；如果是批发商，通常只能给基础图片和文字。

3. **试吃支持**
   - 提供试吃果品、切果工具、牙签、试吃杯、手套、垃圾盒。
   - 派试吃员或促销员，部分供应商只出人、超市出场地和损耗。
   - 承担试吃损耗，或按“供货价折扣、赠品、返点”方式补。
   - 需要提前确认食品安全、试吃备案、现场卫生责任。

**但能不能给，取决于几个条件：**
- 采购量/促销量够不够大。
- 是不是主推单品、爆品，供应商有没有利润空间。
- 供应商是品牌商、产地直供，还是二级批发商。品牌商支持多，批发商支持少。
- 合同里有没有约定促销支持、费用分摊、损耗承担。
- 超市能不能给到好位置、好档期、好价格。

**建议你直接这样谈：**
- 先定促销目标：销量、毛利、引流、清库存。
- 再列支持清单：陈列物料、海报位、试吃果、试吃人工、损耗承担。
- 明确费用分摊：供应商出多少，超市出多少。
- 写进促销协议：支持内容、数量、到店时间、责任人、核销方式。
- 对试吃特别写清：谁提供果品、谁出人工、损耗谁承担、食品安全谁负责。

一句话：**供应商通常能提供陈列、海报、试吃支持，但不是必须，关键看采购量、合作条件和合同约定。** 你可以把这三项做成一张“促销支持确认单”，让供应商勾选并签字，后续不容易扯皮。
