关于您的问题，目前中国进口水果行业中，能够提供账期和锁价机制的供应商主要包括大型头部企业及部分专注特定品类的贸易商。以下是参考建议：

1. **账期和锁价机制的一般情况**：
   - 账期通常与客户信用评级、采购规模相关，一般需签订年度框架协议。
   - 锁价机制多用于季节性水果（如车厘子、榴莲），供应商会基于期货价格或产地预售提供固定价格，但需支付一定比例的保证金。

2. **鑫荣懋与洪九果品对比**：
   - **鑫荣懋**：作为国内最大水果供应链企业之一，体量大、渠道广，财务体系规范，对大型零售客户（如沃尔玛、盒马）提供账期和锁价服务，但对中小客户灵活性较低。
   - **洪九果品**：以“端到端”模式著称，在东南亚水果（如榴莲、山竹）产地有较强控制力。其锁价机制较成熟，可通过产地提前锁定价格；账期上，对核心客户较灵活，但需实地评估信用状况。
   
   **灵活性判断**：洪九在中小客户和特定品类（如榴莲）的锁价和账期协商空间更大，鑫荣懋更偏向标准化流程。

3. **其他备选供应商**：
   - **佳沃集团**：蓝莓、车厘子等进口品类锁价机制完善。
   - **都乐（Dole）**：全球化品牌，账期政策严格，但品质稳定。
   - **区域型贸易商**（如广州江南市场部分头部档口）：在账期和锁价上可能更灵活，但需自行核实资质。

**建议下一步操作**：
- 与鑫荣懋或洪九的区域销售经理直接沟通，明确您的采购量（如月均货柜数）、目标品类（如智利车厘子、越南火龙果）以及您的企业类型（如连锁商超、批发商）。
- 要求对方提供历史账期案例（注意信息脱敏）和锁价合同模板。
- 若您刚进入行业，可优先尝试洪九的“产地直供”模式，但需注意付款周期匹配问题。

最终选择取决于您的资金流、议价能力和品类需求。如有具体业务场景，请补充更多信息，我将提供更精准的分析。
