商超做会员日水果活动，供应商要提前配合的重点，不是“当天多送点货”，而是把**爆量、品质、价格、陈列、损耗**这五件事提前锁死。可按下面清单准备：

1. **提前确认活动方案**
   - 活动时间、门店范围、会员价/折扣力度、限购规则。
   - 主推单品、引流单品、利润单品、凑单单品分别是什么。
   - 预估销量：按平时销量×活动系数，再分到各门店。
   - 明确供应商承担的费用：降价补贴、损耗补贴、陈列费、促销员费用等。

2. **锁定货源和产能**
   - 活动前至少提前7—15天确认产地、果园、加工厂产能。
   - 对易缺货单品准备备用产区或备用供应商。
   - 避免临时换产地导致口感、规格、包装不一致。
   - 进口水果要提前确认清关、到港、冷链和检验检疫时间。

3. **按商超标准做分级和规格**
   - 明确果径、重量、糖度、成熟度、色泽、瑕疵率。
   - 会员日常见问题是大果变小果、A级变B级，必须提前封样。
   - 包装规格要统一，如箱规、托盘、标签、条码、追溯码。
   - 散卖和预包装要分别准备，避免门店临时分装影响效率。

4. **提前备货但不能一次性压死**
   - 耐储水果可提前2—3天到仓。
   - 叶菜类、浆果类、熟度高的水果要分批次到店，日配或半日配。
   - 和商超仓配确认收货时间、预约时段、卸货能力。
   - 活动首日、周末、会员日高峰要单独加频次。

5. **冷链和物流预案**
   - 确认冷藏车、保温箱、冰袋、周转筐数量。
   - 香蕉、芒果、牛油果等后熟水果要控温控熟。
   - 草莓、蓝莓、樱桃、荔枝等要重点防挤压、防高温。
   - 准备备用车辆和司机，避免爆仓或延误。
   - 提前查天气，高温、暴雨、寒潮都会影响到货品质。

6. **品控和验收配合**
   - 活动前提供样品，和商超采购、门店品控共同确认标准。
   - 每批次随货带质检报告、农残检测、产地证明等。
   - 到仓后配合抽检，不合格要有快速补货或换货方案。
   - 对门店反馈的坏果、熟度问题，设定2—4小时响应机制。

7. **门店陈列和物料支持**
   - 提供堆头箱、展示筐、价签、海报、试吃物料。
   - 如果商超需要试吃，提前准备一次性餐具、牙签、垃圾袋。
   - 安排促销员或督导巡店，重点门店活动首日必须到场。
   - 培训门店员工：怎么挑果、怎么保鲜、怎么推荐、怎么处理客诉。

8. **价格和费用确认**
   - 活动供价、正常供价、返利、账期要书面确认。
   - 明确降价部分由谁承担，避免活动后对账扯皮。
   - 赠品、试吃损耗、坏果赔付提前写进协议。
   - 设置价格保护期，防止活动前后价格倒挂。

9. **库存和补货机制**
   - 建立活动专项库存表，按门店、SKU、日期更新。
   - 设置安全库存和补货触发线。
   - 首日卖超时，能在24小时内补货；叶菜浆果最好半日内补。
   - 每天复盘销量、损耗、缺货、客诉，第二天调整发货。

10. **售后和应急方案**
   - 坏果、漏发、错发、迟到，分别谁负责、怎么赔。
   - 准备替代单品，主推品断货时能立刻切换。
   - 客诉集中时，供应商要配合门店退换货。
   - 活动结束后3天内完成对账、损耗确认和复盘。

一句话总结：  
**供应商要提前把“货、价、质、配、陈、损、售”七个环节和商超对齐，尤其是封样、锁量、锁价、冷链、补货和赔付机制。**  
会员日最怕的不是卖不动，而是爆量后品质崩、补货慢、损耗扯皮。
