可以，但要先分清“联名”和“定制礼盒”是两件事：

1. **只做定制礼盒**
   - 都乐、洪九果品通常都能做企业团购/节日礼盒，包括指定水果组合、外箱/腰封/卡片印企业logo、祝福语等。
   - 这类一般叫“企业定制”或“团购定制”，不叫品牌联名，门槛低，走团购渠道即可谈。

2. **真正品牌联名**
   - 需要在礼盒上同时露出“都乐/洪九”和你方品牌，并对外宣传为联名款。
   - 这通常要走品牌方市场部或大客户部审批，涉及品牌授权、联名范围、销售渠道、宣传口径、最小起订量、是否独家等。
   - 都乐这种国际品牌对品牌授权通常更严；洪九相对更偏渠道和供应链，是否开放联名要看具体项目、采购量和合作背景。

3. **判断能不能做的关键**
   - 你的采购量：联名一般有较高起订量，几千盒起更现实，具体看品牌和档期。
   - 销售渠道：只企业内部发福利，还是公开售卖？公开售卖审批更难。
   - 是否收费授权：有的品牌收联名授权费/保证金，有的折算进采购价。
   - 时间：节日旺季要提前1—2个月谈，联名审批更久。

4. **实操建议**
   - 先按“企业定制礼盒”去谈，别一上来就说联名，容易卡审批。
   - 同时问清楚：能否双logo、能否对外宣传、是否收授权费、MOQ、交期、售后。
   - 如果都乐/洪九联名谈不下来，可考虑：品牌方子品牌、区域经销商定制、或者只做“品牌水果+你方礼盒”的组合，不宣称联名。

结论：**能做定制礼盒基本没问题；能做正式品牌联名，取决于采购量、渠道和品牌方审批，不是默认可以。** 建议先找都乐和洪九的团购/大客户渠道问“双logo联名款”政策。
