批发档口退货纠纷，八成不是货的问题，而是“验货标准不统一、责任说不清”。收货验货要解决三件事：**当场发现、当场记录、当场确认**。建议按下面做。

## 一、先把验货标准定死

不要口头说“有问题退”，要落到纸面/微信公告：

- **外观**：破损、污渍、色差、线头、掉漆等，明确可接受范围。
- **数量**：按箱/件清点，散货按称重或点数，误差范围写清楚。
- **规格**：型号、尺码、颜色、批次是否与订单一致。
- **功能**：需通电、试用的，约定抽检比例。
- **时效**：收货后几小时内提异议，超时视为验收合格。

关键一句：**“未当场提出的问题，后续只换不退/不补”**，要提前告知并让客户确认。

## 二、验货流程标准化

1. **先核对单据**：订单号、品名、数量、规格，对不上先别卸货。
2. **外包装检查**：拍开箱前照片，破损箱单独标记。
3. **抽检+全检结合**：
   - 小批量、高价值：全检。
   - 大批量：按比例抽检，抽到问题扩大抽检。
4. **问题件单独放**：不要混入合格品，避免二次争议。
5. **当场记录**：拍照/视频，带时间、箱号、问题部位。
6. **双方确认**：让提货人或司机在验货单上签字，微信确认也有效。

## 三、必备工具和单据

- 验货单（一式两份或电子版）
- 手机拍照/录像，最好带时间水印
- 封箱胶带、标签，问题件当场封存
- 称重器、卷尺、色卡（按行业）

验货单上写清：

> 收货时间、车牌/提货人、订单号、清点数量、抽检数量、问题描述、处理方式、双方签字。

## 四、责任划分要前置

- **物流破损**：开箱前拍外包装，责任归物流，别自己扛。
- **发货错漏**：当场核对，补发/换货写清时间。
- **客户自己挑剩**：明确“非质量问题不退不换”。
- **模糊地带**：约定“协商处理”，但要有上限，比如补发比例不超过多少。

## 五、降低纠纷的几个实操动作

- 发货前拍**装车视频**，封箱贴易碎标。
- 到货后要求**先验后签**，不验不签。
- 建立**客户验货习惯**：第一次就严格执行，后面才顺。
- 问题处理**24小时内给方案**，拖越久越容易闹。
- 每月统计退货原因，倒查是发货、物流还是客户环节。

## 六、一句话原则

**“标准提前说、验货当场做、问题当场记、责任当场定。”**

做到这四点，退货纠纷至少能降一半。如果你告诉我你做的是服装、食品还是五金，我可以给你一套更具体的验货清单。
