水果店采购香蕉时，要减少到货后放坏的风险，核心思路是**采购“绿熟果”而不是“黄熟果”**、**冷链运输**、**分批到货**。具体建议如下：

### 一、明确熟度要求（关键）
香蕉熟度国际上常用7级色卡表示，从1（全绿）到7（全黄带黑斑）。采购时建议要求：

- **到货时熟度**：要求**2-3级（大部分绿色，顶端略黄）**。这个状态货架期最长（常温下约5-7天），适合零售店慢慢消化。
- **绝对不能要**：到货时已是**5级（全黄）或以上**，这种香蕉在店里最多撑2天，除非你当天能卖完。
- **冬天/夏天差异**：
  - 夏天炎热，要求**2级（全绿）**到货，因为运输和店内陈列会催熟。
  - 冬天寒冷，可放宽到**3级（微黄）**，以免催熟过慢影响销售。

### 二、采购时对供应商的硬性要求
1. **书面约定熟度区间**：在采购单/合同上写明“到货时按国际7级色卡计，须为2-3级”，并明确“若到货熟度≥4级，按不合格拒收或折价”。
2. **要求分批到货**：
   - 不要一次进大量的同一熟度香蕉。比如一周进30箱，要求分3次，每次间隔2天，每次10箱，且每批熟度略有差异（比如第一批2级，第二批2.5级，第三批3级）。
   - 这样能形成梯次销售，避免一次性全熟造成积压。
3. **要求冷链或控温运输**：
   - 夏季明确要求**全程冷链（13-15℃）**，否则绿蕉在高温车厢内会被闷熟，到货可能已是4-5级。
   - 冬季则要求**保暖防冻**，温度低于10℃会冻伤香蕉（表皮发灰），影响外观。
4. **要求采摘后催熟处理**：如果供应商是产地直发，需确认其已用乙烯利催熟到统一熟度，避免到货后生熟不均。

### 三、到货验收标准
- **到货时立即检查**：拆箱看色卡，抽检至少3箱（上、中、下）。
- **如果发现到货过熟**：当场拒收；若已卸货，拍照留证据，按比例扣款。
- **检查压伤/裂果**：香蕉最怕挤压，有压伤的黑点会加速腐烂，要求破损率≤5%。

### 四、店内管理配合（即使采购好也要注意）
- 到货后立即**展开纸箱**，不要闷着，否则会发热加速成熟。
- 陈列时**只摆7成熟**（少量全黄），其余储存于**13-16℃**阴凉处或冷柜。
- 如果货架上有黄熟果，**第一时间打折处理**，不要等黑斑出现。

---

**一句话总结**：采购时，签合同写明“到货熟度2-3级、分批交货、冷链运输”，到货后立即验熟度，压伤率≤5%。这样香蕉的损耗通常能控制在5%以内，远低于行业平均的15%。
