目前市场上菠萝的稳定供应品牌，除了都乐（Dole）外，还有以下几个主要品牌，它们在全球或中国市场的供应链相对成熟、渠道稳定：

1. **金菠萝（Golden Pineapple）**  
   - 由菲律宾进口，通常由“菲律宾金菠萝”或“佳沃（Joyvio）”等国内企业代理。该品种以甜度高、果眼浅著称，供应周期长，常年在电商和商超有货。

2. **佳沃（Joyvio）**  
   - 背靠联想控股，是国内水果供应链头部企业，代理多个进口菠萝品牌，包括菲律宾和哥斯达黎加产区，供应稳定，线上线下渗透率高。

3. **百果园（Pagoda）**  
   - 虽然百果园本身是零售渠道，但拥有自有品牌菠萝（包括“A级”规格），与产地直接签约，在南方产区（如海南、广东）与进口果源结合，供应较为稳定。

4. **农夫山泉（17.5°菠萝）**  
   - 农夫山泉近年拓展水果品类，旗下17.5°系列菠萝主要来自海南热带产区，拥有标准化种植基地，适合对品质要求较高、需要稳定囤货的渠道。

5. **海南产地直供品牌（如“南国”、“天涯”等）**  
   - 海南是中国菠萝主产区（如万宁、琼海），本地龙头品牌或合作社（如“南国食品”）提供大量稳定货源，价格更亲民，适合批发或餐饮渠道。

6. **Dole的竞品：怡颗莓（Driscoll's）虽主打浆果，但不做菠萝；而“金正”（Golden）品牌则冷门，不推荐。**

**选型建议：**  
- 如果是商超或电商，优先选**金菠萝（菲律宾）**或**佳沃**，口感好且物流成熟。  
- 如果是餐饮或加工用途，建议直接对接**海南产地**，成本低且量大。  
- 如果追求稳定全年供应（非季节性），进口品牌（金菠萝、佳沃）比国产更具优势，因为海南果通常在4-6月集中上市。

若你需要，我可以进一步帮你比较各品牌的规格和价位区间。
