在酒店采购水果盘原料时，供应商应保证以下核心规格和外观标准：

**1. 外观标准：**
- **新鲜度**：果实饱满，无萎蔫、皱缩、软化或脱水现象。
- **色泽均匀**：水果成熟度一致，无过青或过熟（如芒果有黑斑、香蕉出现大面积褐斑）。
- **无病虫害**：表面无虫眼、霉斑、腐烂、冻伤或机械损伤（如挤压、划痕）。
- **干净卫生**：无泥土、农药残留、杂质或虫卵附着。

**2. 规格标准：**
- **大小均匀**：同一批次水果个头、重量基本一致（如草莓单果约15-20克，蓝莓直径12毫米以上）。
- **形状规整**：无畸形果，果形标准（如苹果、梨不能严重歪斜）。
- **成熟度分级**：供应商需明确标注成熟度等级（如“七成熟”用于次日摆盘，“九成熟”用于当天使用）。
- **包装完好**：运输包装防震、透气（如带孔纸箱），内包装单独分格或使用果托，避免碰撞挤压。

**3. 特殊要求（针对具体水果）：**
- **易切水果**：如西瓜、哈密瓜，要求瓜瓤紧实、甜度高，无空心率、白筋或变质。
- **浆果类（草莓、蓝莓等）**：蒂柄完整，无软烂、渗液，蓝莓表面白霜保留（代表新鲜）。
- **热带水果（芒果、木瓜等）**：未挤压裂口，无发酵酒精味，果梗处无霉变。
- **柑橘类**：皮薄紧实，无“干水”（即果肉变软、汁水少）或果柄发黑。
- **葡萄类**：果粒紧凑不脱落，果梗鲜绿，无褐变。

**4. 可交付检查建议：**
- **到货验收**：当场开箱检查，随机抽取10%-15%样品，查看外观、重量和成熟度。
- **记录标准**：签订采购协议时，明确外观等级（如特级、一级）、规格允许误差（如单果重量偏差<10%）、以及退货条件（如腐烂率超过2%可拒收）。

供应商需提供产地、采摘日期、运输温度记录，并对外观、规格承担责任，确保水果盘成品达到视觉美观、口感达标。
