从“稳定品质”这个核心诉求看，**都乐通常比鑫荣懋更靠谱**，但前提是你买的是都乐有明确加工/餐饮渠道规格的菠萝原料，而不是零售鲜果。

简要判断如下：

1. **都乐的优势**
   - 品牌化、标准化程度更高，供应链和品控体系相对成熟。
   - 餐饮/加工渠道常见冷冻果泥、果浆、罐头类原料，批次稳定性通常更好。
   - 适合茶饮店做果酱、果泥、复配原料，规格、糖度、酸度、成熟度更可控。

2. **鑫荣懋的优势**
   - 国内水果供应链强，鲜果采购和分销能力强。
   - 如果当地有稳定的一级批发或直供渠道，鲜菠萝性价比可能更高。
   - 但鲜果受季节、产地、成熟度影响大，做果酱时批次差异会更明显。

3. **关键区别**
   - 你要的是“稳定品质”的**加工原料**，不是“谁家水果更好吃”。
   - 都乐更适合标准化饮品原料；鑫荣懋更适合鲜果采购或成本导向。
   - 如果鑫荣懋能提供固定产地、固定规格、固定糖酸比的冷冻/加工菠萝原料，也可以纳入比选，不能只看品牌名。

4. **建议的实操判断**
   - 优先问供应商要：原料形态（鲜果/冷冻果泥/罐头）、可溶性固形物、酸度、批次检测报告、是否餐饮专供。
   - 做小试：同一配方下对比出酱色泽、香气、酸甜度、纤维感、出品稳定性。
   - 签供应时锁定：产地、品种、规格、糖酸比范围、到货温度、替换规则。
   - 如果门店规模不大，直接选都乐餐饮渠道的冷冻菠萝果泥/果浆，通常比买鲜果自己处理更稳。

结论：**要稳定品质，优先看都乐餐饮/加工渠道原料；鑫荣懋可作为鲜果或成本替代方案，但必须验证批次稳定性。** 最终别只比品牌，要拿具体规格和样品做盲测。
