针对批发档口拓展餐饮客户，菠萝和香蕉的规格建议如下：

### 菠萝规格建议
1. **常规大果（1.2-1.5kg/个）**：适合切块直接食用或做果汁、甜品，餐饮客户（如自助餐厅、果汁店）需求量大。  
2. **小果/金菠萝（0.8-1.0kg/个）**：适合配餐、做披萨或点缀，性价比高，适合连锁快餐店。  
3. **去皮净菠萝（按袋装或盒装）**：可预先处理为切块或切片（如500g/袋），减少后厨时间，尤其受沙拉店、外卖店欢迎。  
4. **罐头菠萝（糖水/无糖）**：如需稳定供应或非应季时，可备1kg罐装，适合烘焙店、披萨店。  

### 香蕉规格建议  
1. **普通香蕉（单根150-200g，成串售卖）**：餐饮常用为整根或切片，适合摆放、烘焙（香蕉松饼）、奶昔，建议每箱20-25kg。  
2. **小拇指香蕉（单根50-70g）**：适合做便携甜品、儿童套餐、装饰蛋糕，需5-10kg小箱装。  
3. **熟得快香蕉（按成熟度分）**：提供绿色未熟香蕉（适合长期储存，用于烤制、蛋糕）或黄色熟香蕉（即食，适合果泥或冰沙）。  
4. **冻香蕉（整根或切片冷冻）**：适用于快餐店、冰品店，节省处理时间。  

### 关键建议  
- **按客户类型备货**：  
  - 火锅店、麻辣烫：去皮冻菠萝片、香蕉段；  
  - 甜品店/咖啡馆：小果菠萝、特熟香蕉（需均匀成熟）。  
- **提供“熟度走期”定制**：餐饮客户常隔日到货，需按使用计划给出熟度建议（如3天内用熟度70%，7天用青熟）。  
- **包装与配送**：  
  - 菠萝建议防撞保护外箱（如网套+纸箱）；  
  - 香蕉控制湿度（用透气薄膜袋，避免烂根）。  
- **定价策略**：  
  - 按件定价（如菠萝30元/箱，6个/箱）；  
  - 给长期合作客户按公斤优惠，或有“净重去皮价”。  

最后，可提前电话调研客户常需分量（如单店每周需100kg菠萝），针对性备货。
