想避免买到太生或太熟的香蕉，关键是先确定你打算**什么时候吃**，再按成熟度挑选。

可以这样做：

1. **看用途选颜色**
   - **当天或第二天吃**：选通体黄色、少量褐斑的，成熟度最高、最甜。
   - **2～3天后吃**：选黄色为主、两端稍带一点绿的。
   - **4～6天后吃**：选黄绿相间、整体偏硬的。
   - **一周左右吃**：选整体偏绿、只有少量黄斑的。
   - 如果超市只有很青的，也可以买，但别指望马上能吃。

2. **摸硬度**
   - 轻轻捏中部，不要捏两端。
   - **太硬、像石头**：很生，需要放很久。
   - **稍有弹性、能轻微按动**：适合近期吃。
   - **很软、一按一个坑**：已经熟透，最好当天吃，否则容易烂。
   - 注意：有些香蕉看起来黄，但摸起来很硬，可能是催熟不均或还没后熟好。

3. **看两端和表皮**
   - **两端发绿**：通常还没完全熟。
   - **两端发黑、果柄干枯**：可能过熟或存放较久。
   - **表皮有少量黑褐斑点**：通常是最甜的时候，但必须当天或次日吃。
   - **大面积黑斑、渗液、发霉**：不要买。

4. **闻气味**
   - 有淡淡果香：成熟度合适。
   - 没味道：偏生。
   - 酒味、酸味、发酵味：过熟或已经开始坏。

5. **按采购计划买**
   - 如果一次买多把，可以**混着买**：一把偏黄近期吃，一把偏绿后面吃。
   - 不要全买同一成熟度，否则会同时熟、同时烂。
   - 如果只想买一把，就按“你最早什么时候吃”来选，而不是按“看起来最好看”来选。

6. **回家后控制成熟速度**
   - 想快点熟：和苹果或梨放在同一个纸袋里，室温放置。
   - 想慢点熟：不要和苹果、梨放一起；成熟后可以放冰箱冷藏，表皮会变黑，但果肉能多保存几天。
   - 已经熟了的香蕉别继续放在密闭袋里，容易闷坏。

简单判断：
- **今天吃**：黄皮带少量黑点，轻捏有弹性。
- **过两天吃**：黄皮、两端略绿、手感稍硬。
- **过几天吃**：黄绿相间、整体硬。
- **一周后吃**：偏绿、硬、无黑斑。

最稳妥的办法是：**买的时候按“最早食用时间”选成熟度，回家后按计划分开存放。**
