对于小水果店进货香蕉，**最优先看熟度**，其次是坏果率，价格和送货速度作为辅助参考。原因如下：

1. **熟度（决定销路）**：香蕉是后熟型水果，进货时的熟度直接决定货架期和损耗。  
   - 如果全熟，当天卖不完第二天就会发黑，损耗极高；  
   - 如果太生（全绿），顾客不愿买，可能放几天才熟，占用资金和货架。  
   - **建议**：选七八成熟（表皮微黄、手感稍硬、果柄青绿）的，到店后自然放熟，能卖2-3天。

2. **坏果率（决定实际毛利）**：香蕉运输易挤压、碰撞，有黑斑、裂口、腐烂的果子直接损失利润。  
   - 进货时抽查箱内中下层（容易压伤），确认单箱坏果率低于5%，超过10%坚决不要。

3. **价格（次要）**：香蕉批发价波动大，但小店的竞争力在于新鲜度和定价灵活。价格相差0.1-0.2元/斤，一箱（约20斤）只差2-4元，若因此牺牲品质，损失远大于差价。

4. **送货速度（看情况）**：  
   - 如果对方承诺当天送，且能保证到货时仍是目标熟度，速度才有意义；  
   - 如果批发商距离远、运输时间长，即使速度快也可能导致熟度超标，所以**重点核实从采摘到送达的总时长**，而不是单纯看“快”。

**行动建议**（可执行）：
- 到货后当场开箱验货：看果把是否完整、是否有黄色带黑斑（这是成熟不均的表现）。
- 定一个“两箱价”：先少量进一箱试卖，摸清本地顾客对熟度的偏好（比如有些人喜欢偏生，有些人喜欢偏软）。
- 和批发商约定：若单箱坏果超过5%，下次按比例补送或折扣，把风险提前谈好。

总结：**先抓熟度和坏果率，价格不用过度压，送货速度只看实际到货状态**，这样能把损耗控制在小店能承受的范围内。
