判断茶饮连锁的菠萝供应商能否稳定按规格送货，核心在于**建立可量化的验收标准和追溯机制**。以下是具体评估方法：

1. **明确规格要求并书面化**
   - 将菠萝的**重量范围**（如1.2-1.5kg/个）、**成熟度**（如7-8成熟，无青皮）、**外观要求**（无机械伤、腐烂、病虫害）等形成《采购规格书》，作为合同附件。要求供应商签字确认。
   - 小贴士：可以让供应商提供带标的样品照片或视频，作为视觉标准。

2. **小批量试单与检测**
   - 先向候选供应商订购1-2次小批量（如200-500kg），到货后**随机抽样10%-20%**，测量重量、成熟度、外观，记录不合格率。若不合格率超过约定值（如5%），则暂不考虑长期合作。
   - 同时记录**到货准时率**和**包装完整性**（如泡沫箱+冰袋是否破损）。

3. **实地考察与分级能力**
   - 上门检查供应商：是否有**分级产线**（如按重量、成熟度分选）？是否配备**冷库**和冷链运输车？工人是否有操作规范（如轻拿轻放、戴手套）？
   - 关键指标：供应商的**菠萝日处理能力**是否覆盖你订单高峰期的2倍以上（以防断供）。

4. **建立惩罚与激励条款**
   - 在合同中明确：**每月累计不合格率超过5%**，供应商需按比例赔偿（如每吨扣款200元）或免费补货；连续2个月超标，有权中止合同。
   - 对**持续达标**（如连续3个月合格率>98%）的供应商，可给予**采购量上浮10%** 的奖励。

5. **实施到货抽查与留样**
   - 每批到货随机抽取10箱，拆箱后逐個检查，拍照留底（拍摄不合格品并附当天报纸）。**建议设立“黑名单”**：同一供应商若3次抽查不合格，直接淘汰。
   - 可要求供应商提供**批次溯源码**（如产地、采摘日期、分拣员编号），便于追溯问题批次。

6. **沟通与反馈闭环**
   - 每次送货后24小时内给供应商发送《验收报告》，标注不合格品的具体原因（如“5个菠萝过青：未达成熟度”）。要求供应商48小时内书面回复整改措施。
   - 定期（如每季度）召开双方沟通会，分析整体数据，共同优化分拣标准。

**额外建议**：
- 如果条件允许，让供应商**先送3次样品**（每次间隔5-7天），观察其能否在不同天气、季节下保持稳定品质。
- 考虑**分级定价**：对稳定供货的供应商，给一个长期订单的“稳定供应价”；临时供应商则按市场价结算，倒逼稳定供应商提供更好服务。

总结：**用合同固定标准 → 小订单验证 → 持续抽检与反馈**，结合奖惩机制，就能筛选出可靠的菠萝供应商。如果供应商连基本规格都做不到，果断换人，茶饮店品牌信誉比短期价格差更重要。
