判断茶饮连锁供应商能否稳定按规格送货，建议从以下四个关键环节入手，形成可执行的评估与管控方案：

1. **明确并书面化规格标准**  
   - 制定详细的《菠萝采购规格书》，包括：果径（如15-18cm）、成熟度（8成黄带绿）、糖度（Brix≥12°）、果眼深度、有无机械损伤、包装方式（如单果网套+纸箱）、单箱重量误差范围等。  
   - 要求供应商签字确认该规格书，作为合同附件。

2. **建立试产与首批验货机制**  
   - 要求供应商提供连续3批（每批不低于50箱）试送货，每批到货后抽检（按国标GB/T 8855-2008取样，每批抽5-10箱）。  
   - 设定**合格率阈值**：例如单批次合格率≥95%方可进入正式合作，连续3批未达标则淘汰。

3. **动态监测与履约评估**  
   - 到货时执行“三查”：  
     - 外观：随机开箱抽查（比例不低于20%），检查果形、成熟度、包装破损。  
     - 内质：糖度计抽测（每批至少5个样品），记录平均值与变异系数（CV<10%）。  
     - 重量：整箱过磅（误差≤±2%）。  
   - 每月统计供应商的**准时到货率**（按合同约定时间）和**规格达标率**（按规格书），低于90%需启动警告或降级。

4. **合同与底线约束**  
   - 在合同中明确：  
     - 首次不达标：免费换货或补发。  
     - 累积3次不达标：自动降为次选供应商，且需支付合同金额10%-20%的违约金。  
     - 提供“保底供应量”条款（如每日预留200箱产能），并约定延迟到货的阶梯罚则（如延误1天扣货款的5%）。

**简易可用工具**：制作品质打分卡（按规格项逐项打分，70分以下暂停采购），配合到货后24小时内填写，积累3个月数据即可生成供应商稳定度排名。

若想进一步验证供应商根源稳定性，可要求其提供：  
- 近3个月与同等规模连锁的供货记录（含履约率证明）。  
- 自有冷库、分选线、车辆规模信息（可通过现场审核确认）。
