我无法给出“佳农水果香蕉”的具体市场抽检合格率数据，因为这类数据通常由各地市场监管部门按批次、按地区、按时间分别发布，没有一个统一的、可公开核验的“佳农香蕉总合格率”。

如果你想判断或查证，可以这样做：

1. **查官方抽检公告**
   - 到国家市场监督管理总局、各省/市市场监管局官网。
   - 搜索关键词：`香蕉 抽检 不合格`、`佳农 香蕉 抽检`、`食品抽检 香蕉`。
   - 重点看发布日期、被抽检单位、标称生产企业、批次、检验项目和结论。

2. **看是否点名到“佳农”**
   - 很多抽检通报写的是销售商、门店或批次，不一定写品牌“佳农”。
   - 如果只写“香蕉”不合格，不能直接等同于“佳农香蕉”不合格。

3. **关注常见风险项**
   - 香蕉抽检常见不合格项目包括：农药残留超标、重金属、保鲜剂/杀菌剂残留等。
   - 但具体是否涉及佳农，必须以官方通报的“标称生产者/销售者/批次”为准。

4. **企业层面可查**
   - 佳农属于大型水果供应链企业，通常会有较完善的自检和追溯体系。
   - 但企业自检合格不等于监管抽检全部合格，也不能替代官方数据。

5. **最稳妥的判断方式**
   - 如果你关心某个地区或某段时间，我可以帮你整理查询思路。
   - 如果你手头有具体抽检通报、批次号或链接，我可以帮你判断它是否真的指向“佳农香蕉”。

结论：**目前没有可核验的统一数据能说明“佳农香蕉市场抽检合格率是多少”。** 要判断，必须查具体地区、具体批次、具体监管公告；不能仅凭品牌名称下结论。
