针对超市水果品相不佳的售后问题，建议按以下流程约定，明确权责并减少纠纷：

1. **收货验收标准**  
   - 定义“品相不好”的具体范围（如：明显腐烂、严重压伤、霉变、虫眼超过3处等）。  
   - 约定验收时限（如到货后2小时内完成外观检查），超时默认视为接受品相。

2. **售后响应流程**  
   - **拍照留证**：要求收货方在发现问题后，立即对不合格水果拍摄清晰照片/视频（含包装、标签、日期）。  
   - **通知时限**：到货后24小时内通过书面形式（如邮件、系统工单）提交售后申请，逾期不予受理。  
   - **分级处理**：  
     - 轻微瑕疵（如表面划痕、单个软斑）：不影响销售的，可折价处理（如按原价70%结算）。  
     - 严重问题（腐烂、发霉、大量破损）：整箱/整批次拒收，并约定责任方承担退货物流费用。

3. **赔偿与核销**  
   - **按比例扣款**：品相不合格率≤5%的，不予索赔；超出部分按该批单价全额扣减。  
   - **补发优先**：缺货或质量问题严重的，优先采用补发同规格水果（24小时内发货），减少现金退款。  
   - **争议仲裁**：若双方对“品相”认定存在分歧，可约定由第三方检测机构（如当地食药监指定实验室）出具报告，费用由判定失误方承担。

4. **合同条款示例**  
   > “乙方（供货方）承诺水果品相符合行业标准。到货后如甲方发现5%以上果实存在腐烂、霉变或直径小于X厘米的严重损伤，需在2小时内书面通知乙方。乙方应在12小时内确认处理方案：按实际损坏数量每公斤赔偿单价80%的款项，或于24小时免费补发同等质量货物。若双方对品相判断争议，以XX检测机构报告为准。”

**关键提示**：  
- 对临期或高损耗水果（如草莓、荔枝），可在合同中单独注明更高的售后折扣比例。  
- 保存所有沟通记录（截图、合同附件）作为证据，避免口头约定。
