选择水果供应商时，除了价格和品质，以下细节容易被忽视但对长期稳定至关重要：

1. **供应商的水果来源与种植基地**  
   - 是否自有或长期合作的产地？产地气候、土壤条件是否稳定？  
   - 果品是否经过第三方检测（如农残、重金属）？有无正规检疫证明？  
   - 季节性水果的备选渠道是否充足？比如台风季有无其他产区补货？

2. **物流与冷链保障**  
   - 运输温度控制能力（如香蕉需13-15℃、草莓需0-2℃），是否全程冷链？  
   - 运输时间是否可控？比如跨省运输是否超48小时？  
   - 装卸过程是否使用防震包装？有无破损率分成协议？

3. **持续供货稳定性**  
   - 同一品种在不同季节的库存周转能力（如夏天西瓜供应是否充足？）  
   - 紧急缺货时是否有备用供应商或调货方案？  
   - 是否承诺“断货赔偿”或“最低供货量”条款？

4. **售后与风险共担机制**  
   - 腐烂变质果品的退换货政策（一般要求24小时内报损）  
   - 是否提供“分批次到货”服务（避免库存积压）？  
   - 价格波动共担协议：比如采货当日低于市价时是否调价？

5. **隐性成本与账单细节**  
   - 是否包含送货费、包装费、税票？  
   - 是否支持按周/月结算，有无账期利息？  
   - 是否对“试销期”有免赔条款（如首单可退15%滞销货）？

建议：先试购小批量比较3-5家供应商，重点观察**到货损耗率**和**售后服务响应速度**。长期合作前，要求对方提供近3个月的出货记录、冷链温度监测报告，并签订包含损耗分担和涨价缓冲期的合同。
