对于第一次和水果供货商合作，建议采取“小批量、多批次、快反馈”的方式试单，降低压货和品质风险。

具体操作步骤：

1. **首单量控制**：每种水果控制在1-2箱（约20-30斤），不要超过全店日销量的30%。优先选择“整箱试卖”，避免拆散后损耗不可控。

2. **到货检查清单**（收货后2小时内完成）：
   - **香蕉**：看柄部是否发黑、有无硬芯，捏一下两头是否有软塌（软=熟过或进过冷库）。
   - **苹果**：表皮是否有自然果蜡（非打蜡），检查底部有无霉斑，随机切开2个看果心是否发褐。
   - **橙子**：轻压果身有弹性为佳，切开观察皮厚薄、籽多少，尝一瓣确认甜度（好橙子即使微酸也应有明显果味）。

3. **销售测试法**：
   - 用3天测试期：第一天原价卖，第二天搞“买2斤送半斤”小促销，第三天折价清货。
   - 记录三个数据：**损耗率**（第3天未售完被扔掉的占比）、**复购率**（回头买同品的人数）、**投诉率**（顾客反馈口感差或烂果的数量）。
   - 如果损耗率＞15%且复购率＜20%，立即换供货商。

4. **关键风险点**：
   - 警惕“包赔损耗”话术：口头承诺常不兑现，试单时要求“坏果包赔”白纸黑字写在收据上。
   - 避开“隔夜货”：早期尽量选上午到货，下午卖，别留过夜——新开店冰柜容量有限，常温存放会加速腐烂。
   - 连试3家供货商：同一城市至少联系3家批发商，每家试单后对比，才能找到性价比最优的。

5. **合同确认**：即使试单，也要让供货商签简易单据，写明：
   - 水果规格（如80#苹果、江西脐橙等标准名称）
   - 净重/毛重（防含水卖皮称重）
   - 违约条款（如出现批次烂果超10%如何处理）

试单成功后，建议长期固定2-3家供货商，保持货源稳定；每次进货仍保留15%的随机抽检比例。夫妻店利润薄，水果批发圈子常看“新手脸”，第一次尽量低调小量拿货，避免被当冤大头推陈货。
