针对水果批发商应对价格波动，建议采取**“短期议价 + 长期合同”组合策略**，具体取决于水果品种和客户类型：

1. **易腐、高波动水果（例如草莓、荔枝、芒果）**：建议**每天议价**。  
   - 原因：这类水果保质期短，供需和品质变化快。议价能及时反映当天行情，避免因固定价格导致亏损（若市价下跌）或失去利润（若市价上涨）。
   - 操作：每日参考批发市场开盘价或产地报价，与客户协商当日价格。

2. **耐储存、波动较小的水果（例如苹果、橙子、西瓜）**：建议**签订短期固定合同（如1-2周）**。  
   - 原因：这类水果存量可调节，价格趋势相对平稳。固定价格可稳定客户预期，减少每日谈判成本，同时合同期短可保留调整空间。
   - 操作：以最近一周均价为基础，签订1-2周固定价格合同，并约定若市价波动超过10-15%，可重新协商。

3. **对大型长期客户（如超市、餐饮连锁）**：建议**签订价格保护型长期合同**。  
   - 采用“基价+浮动”模式：例如约定基础价格不变，但每单根据当天产地批发价指数加减一定比例。这既能锁定合作关系，又分担价格波动风险。

**特别建议**：  
- **建立价格预测机制**：关注天气预报、节日、产区产量新闻，提前判断波动趋势，用于指导议价或合同设定。  
- **使用期权或期货**（如大连商品交易所的苹果期货）：对于资金充足的批发商，可通过期货对冲价格风险，但需专业操作。  
- **记录每次议价和合同结果**：分析不同决策下的利润率，逐步优化自己的议价模型。

总之，**没有单一最优策略**，核心是根据水果属性、客户关系和市场信息灵活切换模式。建议先从每日议价入手（灵活），再根据稳定客户逐步过渡到短期合同（降低交易成本）。
