佳农（佳农食品控股/佳农水果）通常会有针对商超渠道的陈列和试吃支持政策，但**具体能否给、给到什么程度，取决于你们门店的渠道类型、采购量、合作档期和当地经销商/分公司政策**，不存在统一固定标准。下面给你可执行判断和谈判思路。

## 一、一般能做到什么

**堆头陈列**
- 多数情况可支持：免费或补贴形式提供堆头物料（围挡、价签、插卡、地贴、吊旗等）。
- 堆头位置通常需要商超自己给，佳农一般不会承担“买位置”的费用。
- 如果是重点单品（如香蕉、菠萝、牛油果、蓝莓等）或新品的全国/区域推广档期，支持力度会更大。

**试吃支持**
- 常见支持：提供试吃果品、试吃台/物料、一次性用品、促销员服装或部分人工补贴。
- 试吃果品通常按“报损/赠品”形式核销，需要提前报备活动方案。
- 促销员人工一般由商超承担为主，佳农可能给补贴或派督导，不一定全包。

## 二、费用怎么分担（常见几种模式）

1. **商超承担位置和人工，佳农承担果品和物料**
   - 最常见，适合常规档期。
   - 你出堆头位、试吃台位置、促销员；佳农出试吃果、陈列物料。

2. **双方各承担一部分费用**
   - 例如：佳农出果品+物料，商超出人工，堆头制作费按比例分摊（如各50%）。
   - 需要谈清楚：制作费、损耗、促销员工资、场地费分别谁出。

3. **佳农全包或大包**
   - 一般只出现在：大促节点（春节、中秋、国庆、店庆）、新店开业、重点单品冲量、采购量很大的情况。
   - 往往附带条件：保证堆头位置、陈列面、活动天数、最低进货量或销售额。

4. **纯商超自投，佳农只给货**
   - 如果采购量小、非重点客户，佳农可能只给正常供货价，不额外支持。

## 三、你谈判时要先确认这几个条件

- 你们是**总部直采**还是**当地经销商供货**？经销商政策往往比总部更灵活，但资源也有限。
- 活动档期和主推单品是什么？越靠近节假日、越是大单品，支持越容易谈。
- 预计进货量/销售额是多少？这是佳农是否投入的核心依据。
- 堆头位置在什么区域、多大面积、做几天？
- 试吃是周末两天还是连续一周？需要几个促销员？
- 费用是**货补、现金、物料**还是**折扣**形式返还？

## 四、建议你这样去谈

直接找佳农当地业务或经销商，发一个简短方案，包含：

- 门店名称、档期时间、堆头位置和尺寸
- 主推单品、预计进货量
- 试吃天数、时段、促销员人数
- 你希望对方支持的内容：果品、物料、人工补贴、堆头制作费
- 你方能提供的：好位置、陈列面、端架/地堆、社群或海报宣传

然后问清楚：
1. 堆头物料是免费提供还是需要分摊？
2. 试吃果品按什么标准核销？报损还是赠品？
3. 促销员人工能否补贴？补贴多少、怎么结算？
4. 费用是活动前支持还是活动后核销？需要哪些凭证？

## 五、结论

佳农**有可能**提供堆头陈列和试吃支持，但通常不是无条件全包。常见分担方式是：**佳农出果品和物料，商超出位置和人工**；重点档期或大采购量下，佳农可能承担更多甚至全包。具体费用分担必须和当地业务/经销商按档期单独谈，建议你先拿到他们的活动政策，再按上面清单逐项确认。
