为减少香蕉损耗，建议要求采购时**控制熟度**并**规划到货时间**，具体如下：

1. **熟度要求**：  
   - 要求供应商提供**绿熟果**（绿皮，硬度充足，果柄未发黑），避免采购已转黄或出现黑斑的熟果。  
   - 明确色卡标准（如“全绿3-4度”），并在合同中规定“单箱黄果不超过5%”。  

2. **到货时间**：  
   - 要求**到货后至少有3天货架期**（即从到货到自然成熟可售的缓冲期），避免到货即熟透。  
   - 优先选择**周一至周三上午到货**，避开周末（客流量大时便于快速销售，且避免周末无人配货导致积压）。  

3. **附加要求**：  
   - 分批到货（如周二、周五各到半批量），避免一次库存过多。  
   - 要求冷链运输（温度13-14℃），可延缓后熟。  

**判断标准**：  
- 到货后，随机检查箱子内温度（手摸无温感或微凉）、果柄弹性（无断裂或发霉），并计算预计成熟日（绿果常温下约3-5天变黄）。  
- 若采购成本允许，可要求供应商提供**8成熟但已预冷**的香蕉，直接上架出售，但需明确到货后24小时内必须售完。  

最终以“到货后可售卖4-5天”为底线，低于此则调整采购批量和时间。
