我无法确认“佳农水果菠萝进口量11.4万吨”这个数据对应的是2025年，也无法给出官方出处。

原因是：这类企业级、单品的进口量数据，通常不会由海关总署等官方机构按“企业+单品”口径公开披露；常见来源多是企业内部宣传、行业媒体报道、券商研报或第三方机构估算，这些都不属于严格意义上的“官方出处”，且往往标注的是某一历史年份或累计口径，容易在传播中被误读为最新年份。

建议你按下面方式自行核验，能较快判断真假：

1. **看原始表述的完整上下文**
   - 是“2025年进口量”“2024年进口量”，还是“累计进口量”“年进口能力”？
   - 是“菠萝”还是“菠萝及制品/香蕉等热带水果”合计？
   - 单位是吨、万吨，还是货值金额？

2. **查佳农官方渠道**
   - 佳农官网、官方公众号、上市公司公告（如佳农食品相关主体若有发债/上市披露）。
   - 重点看是否明确写出“数据来源：海关/公司年报/第三方机构”。

3. **查海关公开数据口径**
   - 海关总署公开的是按商品编码、国别、地区、贸易方式等统计的进出口数据，一般不按具体企业名称公开。
   - 所以如果某文章说“海关总署数据显示佳农进口11.4万吨”，基本可以判断为不严谨或转述有误。

4. **查行业报道和研报**
   - 看是否注明“公司提供”“行业估算”“据某某研报”。
   - 若没有注明来源，或来源只是二手转载，不能当作官方数据。

5. **直接向佳农求证**
   - 通过官网客服、投资者关系邮箱或公众号留言，询问“11.4万吨”对应的统计年份、品类口径和数据来源。
   - 这是最直接、最可靠的方式。

结论：**目前不能确认这是2025年数据，也没有可核验的官方出处。** 如果你能把看到这句话的原文、截图或链接发来，我可以帮你进一步判断它可能的真实口径和年份。
