判断苹果和橙子大小规格是否适合门店销售，可以参考以下步骤：

1. **了解门店定位与客群**：  
   - 高端门店（如精品超市）通常需要较大、外观均匀的水果，例如苹果直径70-80mm（中等偏大），橙子直径65-75mm；  
   - 社区或平价超市可接受略小的规格（苹果60-70mm，橙子55-65mm），但要保证每箱大小一致。

2. **对照采购标准**：  
   - 查看供应商提供的“规格单”（如8kg/箱，每箱约30-35个苹果），现场随机拆箱测量。  
   - 使用卡尺或标准圆模板（市面上有通用水果大小测量圈），抽查至少5-10个，超过80%符合要求即可。

3. **外观与一致性**：  
   - 同一箱内大小差异不应超过10%（例如苹果直径差异<5mm），否则混装会影响售价和陈列；  
   - 检查是否有畸形果（如橙子蒂部凹陷过深）、虫眼或机械伤，这些即使尺寸合适也需剔除。

4. **实测案例**：  
   - 假设门店主要做果切和鲜榨汁，苹果和橙子可适当偏小（直径60mm左右），因为果肉比例更重要；  
   - 若主做礼盒装，则必须选最大级别（苹果>80mm，橙子>75mm），并确保颜色亮丽。

5. **紧急处理**：  
   - 如果来货规格不符，现场要求换货或降价接收（如大一档规格可加价20%销售，小一档需折价30%）；  
   - 无法当场处理时，拍照留存证据，并在验货单上注明“规格异常”供账务调整。

总结：核心是匹配目标场景，用标准化工具抽查，并结合销售预期灵活决策。
