商超做会员日水果活动，供应商要提前配合的准备，核心是**把“爆量、低毛利、易损耗”这三件事提前锁死**。可按下面清单推进：

1. **提前确认活动商品与价格**
   - 明确活动单品、规格、等级、包装形式、活动价、供货价、毛利空间。
   - 确认是否限购、是否限量、是否分级供货。
   - 对“引流款”和“利润款”分开备货，避免全部压在高损耗单品上。

2. **提前锁定货量与到货节奏**
   - 按预估销量的一定比例备安全库存，通常建议按日常销量的3—5倍起步，具体看品类和活动力度。
   - 分批次到货，不要一次性压到门店，尤其叶菜、浆果、熟度高的水果。
   - 明确活动前1—2天、活动当天、活动后补货的到货时间和频次。

3. **提前做品质与验收标准确认**
   - 约定糖度、果径、成熟度、色泽、伤果率、腐烂率等验收标准。
   - 明确次品、烂果、压伤果的处理方式：退换、补损还是折价。
   - 活动前提供样品确认，避免到货后因标准不一致扯皮。

4. **提前准备包装与加工**
   - 是否需要预包装、称重贴标、组合装、果切盒、礼盒。
   - 标签要提前印好：品名、规格、价格、产地、日期、追溯码等。
   - 若做果切或拼盘，要确认加工资质、冷链和当日配送能力。

5. **提前安排物流与冷链**
   - 确认车辆、温层、配送路线、卸货时间、门店收货窗口。
   - 易损水果要加托盘、隔层、缓冲包装，避免运输压伤。
   - 活动日门店收货压力大，最好错峰到货，并安排专人对接。

6. **提前做损耗与售后预案**
   - 约定损耗承担比例和补货响应时间。
   - 准备活动后余货处理方案：调拨、折价、团购、加工利用。
   - 对高损耗单品设置销售上限或分时段放量，避免闭店前大量报废。

7. **提前配合门店陈列与促销**
   - 提供陈列建议：堆头、端架、冷柜、试吃台怎么摆。
   - 提供试吃样品、宣传物料、产地故事、卖点话术。
   - 安排促销员或巡店人员，活动高峰期协助补货、挑拣、试吃。

8. **提前确认结算与对账**
   - 明确活动价、供货价、返利、损耗补贴、费用承担。
   - 确认对账周期、票据、付款条件。
   - 避免活动结束后因价格、损耗、费用问题影响后续合作。

9. **提前做风险控制**
   - 天气、节假日、竞品活动、产地减产都会影响销量和价格，要留调整空间。
   - 对爆款设置备用货源或替代单品。
   - 活动前做一次小范围试销，验证价格、品质和动销。

简单说，供应商要提前配合的就是：**货、价、质、包、运、损、陈、结、险**九个字。把这九项在活动前确认到人、到时间、到标准，会员日水果活动才容易既有人气又不亏太多。
