第一次做水果生意，试单的核心逻辑是：**“量小、账期短、验货严、台账清”**。不要一上来就压货，否则损耗会直接吃掉利润。

以下是针对香蕉、苹果、橙子的具体试单操作建议：

**一、 试单前的准备（关键中的关键）**

1.  **明确你的客群**：你是在社区、菜市场还是写字楼？你的客户是图便宜买来做饭的，还是买来做早餐/下午茶的白领？这决定了你选货的**等级（统货/精品）**。
2.  **准备电子秤和温度计**：这两样是验货的武器，缺一不可。

**二、 单个品类的试单策略**

**1. 香蕉（最容易“踩坑”的品类）**

-   **试单量**：**1-2箱**（约30-40斤/箱）。香蕉是呼吸跃变型水果，囤多了熟太快。
-   **怎么试**：
    -   **不要进全青的**：全青的催熟慢且颜色不好看。**要进“微黄带青”的**，这种在家放1-2天就能熟。
    -   **看“把”**：问供货商是“两把半”还是“三把”。**三把的蕉**（香蕉串数多）单根短，不适合做精品；**两把半**的蕉（串数少）单根长，卖相好，价格也贵。
    -   **试关键动作**：**掰开一根**。如果果肉发白、脆，说明没熟；如果果肉有黑色“梅花点”，说明过熟了。要试**果肉颜色是否奶黄**，尝一下甜度。
-   **付款策略**：香蕉价格波动大，**坚持现款现结**试一单，不要被“月结”的优惠忽悠。

**2. 苹果（走量但利润薄）**

-   **试单量**：**半箱（约20斤）**。苹果耐放，但价格透明。
-   **怎么试**：
    -   **分清“纸袋”和“膜袋”**：纸袋果（如新疆阿克苏、甘肃花牛）皮厚脆甜，价格高；膜袋果（普通红富士）皮薄水分大，价格便宜。**夫妻店建议先试“纸袋果”**，因为有品质感，容易积累回头客。
    -   **看“果锈”和“裂纹”**：对着光看果皮，有网状裂纹的是“冰糖心”概率大，但要试吃一口确认。
    -   **试关键动作**：**切一块皮看厚度**。皮薄且脆的适合切片卖；皮厚且韧的只能卖“整颗”。
-   **付款策略**：苹果利润空间小，**砍价空间在“损耗”**。你可以跟供货商谈：“我进你半箱试销，如果果面有碰压伤超过5%，你得给我补损。”

**3. 橙子（利润空间大，但品控难）**

-   **试单量**：**1筐（约30-40斤）**。橙子太重，搬来搬去损耗大。
-   **怎么试**：
    -   **分清“产地”**：江西赣南（甜）、湖南怀化（酸）、湖北秭归（酸甜）。**先问清楚具体产地**，不要只听“赣南脐橙”的噱头。
-   **试关键动作**：
    -   **“摸”**：用手捏，果皮要**紧实**的，软绵绵的要么是过熟了要么是打蜡很厚。
    -   **“切”**：**一定要切开看**。看皮厚不厚，看**中心柱**（果心）是不是空洞的。中心柱空洞的橙子口感发干。
    -   **“称”**：拿一个觉得最小的橙子，称一下重量。如果低于**5两（250g）**，那这筐货多半是“小果”冒充“中果”，要压价。
-   **付款策略**：橙子水分大，**压秤**。试单时**要求过磅后去皮**（减去包装筐的重量），而且要**开箱看底**，防止箱底垫草纸浸水加重。

**三、 针对“第一次”找供货商的三条铁律**

1.  **留“对版”货**：试单时，**实物拍视频**，发到家庭群里或者发给供货商确认：“这是你发的货吗？”。留作凭证，防止后续“货不对板”扯皮。
2.  **不谈“长期”只谈“单次”**：第一次不要签任何“战略合作”协议。就一句话：“老板，我这第一次做，先拿这点试销，**如果这批货卖得快、损耗低，我下礼拜还来找你**，而且量会翻倍。” 这话比夸他货好有用。
3.  **记录“进货台账”**：拿个本子，**只记数量、单价、日期、箱底状态**。3天后盘点损耗：
    -   如果香蕉扔掉了10%，说明你进货太熟；
    -   如果苹果烂了3个，说明是冷库存货底。

**四、 最稳妥的“零风险”试单法（强烈推荐）**

第一天，**不要进货**。你早上早点（5-6点）去批发市场，**“站柜台”**。不买货，专门看别人怎么拿货、怎么验货。**重点观察**：
**观察谁在12点前货卖完了？** 那说明他的货好且新鲜。
**跟踪那个卖完货的老板**，看他下次去哪个摊位拿货。
第二天，你去那个摊位拿货，直接说：“我昨天看你给XX老板发的那批香蕉不错，给我也来两箱同样的。” 这样能极大降低踩坑概率。

**最后提醒：** 水果是“新鲜”生意，**第一天试单最忌讳“看利润”**。只要试单的这批货能原价卖掉，没亏钱，就已经是巨大的成功。别因为“香蕉有点青”就低价卖，放两天再卖，价格能翻倍。试单期间，**主打“新鲜看得见”**，在店里把橙子切开摆着，比任何进货技巧都管用。
