超市采购要防水果农残抽检风险，核心是**把“合格证明+可追溯+批次对应”三件事提前锁死**，而不是只收一张合格证。建议向供应商索要并核验以下资料：

1. **批次对应的检测报告**
   - 要求检测报告上的品名、产地、批次/采摘日期、供货商名称与本次到货一致。
   - 优先要 **CMA/CNAS 资质机构**出具的报告；至少要有农残项目，不能只写“合格”。
   - 报告日期要覆盖本批次，不能用几个月前甚至去年的报告反复通用。

2. **产地证明或供货证明**
   - 产地证明、种植基地信息、合作社/农户信息、收购凭证等。
   - 若是批发市场进货，要能提供市场开具的销售凭证或供应商上游采购凭证。

3. **承诺书/质量保证协议**
   - 明确供应商对农残超标承担退换货、赔偿、监管处罚连带责任。
   - 写明“随货提供批次检测报告”“出现抽检不合格由供方承担全部损失”。

4. **每批到货的随货凭证**
   - 送货单上写清：品名、规格、数量、产地、批次、采摘/包装日期、供应商盖章。
   - 最好保留供应商联系人、车牌/物流单，便于追溯。

5. **供应商资质**
   - 营业执照、食品经营许可证/食品生产许可证（如适用）。
   - 若供应商是种植基地，还要看种植环节的质量管理或用药记录。

6. **重点高风险水果的额外资料**
   - 对草莓、葡萄、豇豆、韭菜、芹菜、柑橘类等农残风险较高品类，建议每批要检测报告，必要时自检或送检。
   - 可要求供应商提供 **承诺不使用禁限用农药** 的声明，以及用药安全间隔期记录。

7. **超市自己要做的事**
   - 建立供应商档案和批次台账，做到“一批一码/一批一档”。
   - 收货时随机抽检或快检，保留样品和记录。
   - 合同中写清抽检不合格的处理条款：下架、召回、赔偿、终止合作。

一句话：**不要只要一张“合格证”，要“批次检测报告+产地/供货证明+随货批次单据+质量承诺”四件套，并确保能对应到这一批货。** 这样抽检时才能证明超市已履行进货查验义务，降低被处罚和下架风险。
