单位采购水果时，如果到货品质不一致，验收和售后处理需要遵循一套**标准、可追溯、留痕**的流程。以下是具体操作建议：

### 一、验收环节（收货时）
**核心原则：必须当场开箱验货，不签“模糊单”。**

1. **先查外包装与数量**
   - 核对送货单、采购合同（或订单）上的品种、规格（如斤数/箱数）是否一致。
   - 检查外箱是否破损、受潮、变形，如有异常先拍照记录。

2. **逐箱/随机抽查（建议比例不低于30%）**
   - 对于整箱水果，应拆箱检查。如果数量大，可按至少每5箱抽查1箱的比例操作。
   - **重点观察**：
     - **部位**：是否有烂果、压伤、虫眼、发霉。
     - **成熟度**：是否过生（硬绿）或过熟（软塌、有酒精味）。
     - **大小**：同一批次、同一规格的果径是否明显参差（如“大果”混入“小果”）。
     - **重量偏差**：单箱是否明显缺斤少两（一般允许±2%~5%以内）。

3. **当场判定等级**
   - 将抽检问题果按比例折算，分成两类：
     - **轻微瑕疵**（不影响食用，仅外观不美观）：可接收，但需在签收单上注明“允许率”并由送货方签字。
     - **严重变损**（霉烂、变质、压碎、虫蛀）：直接拒收该箱，或将问题箱单独放置，不签收。

4. **拍照留证**
   - 对整箱外观、开箱后的内部结构、每个问题果的特写，拍清晰照片或短视频，最好包含**时间水印**或能显示当时环境的参照物。

### 二、售后环节（已签收但后续发现）
如果当场验收未发现问题，或混合放库后才发现内部有坏果：

1. **立即隔离**
   - 将坏果、疑似坏果及时挑出，防止传染其他好果。

2. **在24小时内（越早越好）发起售后**
   - 联系供应商/销售方，提供以下证据：
     - 清晰照片（拍摄坏果、整箱编号/批次）。
     - 坏果数量、重量统计表。
     - 采购单据号。

3. **协商处理方式（明确诉求）**
   - **补货**：按坏果等重补发新货（若坏果比例超过5%~10%，优先要求）。
   - **退款**：按坏果金额折价退款（按采购单价计算）。
   - **抵扣**：下批次订单中直接扣减坏果金额。

4. **留存书面记录**
   - 与供应商沟通时，尽量通过微信文字、邮件或可存档的聊天工具，保留聊天记录。不要只口头约定。

### 三、制度性建议（长期避免纠纷）
1. **签订采购合同时，明确标准**：
   - 注明“验收合格标准”（如单果瑕疵率≤X%，单箱缺重≤X%），以及验收异议期（如“到货后24小时内可提出异议”）。
2. **建立供应商评估机制**：
   - 连续两次出现严重品质问题或售后拖延的供应商，应暂停合作或纳入黑名单。
3. **内部验收责任人制度**：
   - 指定专人（或两人同时在场）负责验收，并在验货单上签名确认，避免责任推诿。

---

**特别提醒：** 如果采购的水果属于“新鲜度衰减快”的品种（如草莓、樱桃、荔枝），建议尽量缩短从到货到入库的时间，并优先检查底层与边角箱（运输中最容易受挤压的部位）。

如果有具体水果品种或供应商情况，可以补充，我可以给出更针对性的建议。
