和水果供应商谈酒店早餐合作，核心是锁定“稳定供应”，所以重点要抓几件事：

1. **先明确自己的需求**
   - 每天/每周用量、品类（苹果、香蕉、橙子、西瓜、哈密瓜等）
   - 规格标准：大小、成熟度、甜度、外观
   - 送货时间、频率、验收地点
   - 是否需要削皮、切块、分装等初加工

2. **重点谈供应稳定性**
   - 要求备货方案：缺货时用什么替代、提前多久通知
   - 是否有多产地/多仓库调货能力
   - 节假日、恶劣天气、旺季的保供措施
   - 约定最低供货量和应急补货时效

3. **质量与验收标准写进合同**
   - 新鲜度、成熟度、无腐烂、无虫害、农残检测
   - 验收方式：现场抽检、称重、拍照留证
   - 不合格处理：拒收、换货、扣款、赔偿

4. **价格与结算**
   - 是固定价还是随行就市，调价周期和依据
   - 是否含运费、税费、损耗
   - 账期、结算方式、发票类型
   - 避免只谈单价，要算综合成本

5. **配送与损耗责任**
   - 冷链/普通配送要求
   - 到货时间窗口，迟到是否扣款
   - 运输中损坏、变质由谁承担
   - 退货、换货流程要简单可执行

6. **食品安全与资质**
   - 营业执照、食品经营许可证、检测报告
   - 来源可追溯，最好能提供批次信息
   - 符合酒店食品安全和审计要求

7. **合同关键条款**
   - 合作期限、试用期
   - 违约、断供、质量事故的处理
   - 保密与排他条款（如需要）
   - 终止合作的条件和交接期

8. **先小批量试合作**
   - 不要一上来签长期大单
   - 试运行2—4周，看准时率、合格率、损耗率、服务响应
   - 数据稳定后再扩大合作

简单说：**把“稳定”拆成用量、备货、配送、验收、违约五个环节，全部写清楚，再小批量验证。** 这样比只谈价格更能保证早餐水果不断供、不出质量问题。
