关于佳农水果的苹果品类，**佳农（Goodfarmer）确实有红富士苹果**，通常以“佳农红富士”或“佳农精选红富士”的形式销售，属于其常规水果品类之一。

**关于佳农和鑫荣懋的性价比对比，由于没有具体的实时价格、产地和促销信息，很难给出绝对的结论。** 不过，可以从以下几个维度帮你判断，供你参考：

1. **价格定位**：
   - 佳农：通常走中高端路线，但红富士这类大众水果，其价格往往与山姆、盒马等渠道的精品装持平，比普通超市散装贵，但低于进口品牌（如爱妃、爵士）。
   - 鑫荣懋：同样定位中高端，但渠道更广（如永辉、华润万家），其红富士常有“基地直采”或“整箱装”，价格波动较大，促销时性价比可能更高。

2. **品质与口感**：
   - 两者都是国内头部水果供应链企业，红富士主要来自山东、陕西、甘肃等产区。
   - 佳农的优势在于**品控稳定**，果径均匀、糖度筛选严格，适合送礼或追求一致口感。
   - 鑫荣懋的优势在于**产地多元化**，有时会有“阿克苏”或“昭通”等特色产区系列，风味可能更独特（如冰糖心），但需看具体批次。

3. **性价比决定因素**：
   - **渠道差异**：同一品牌在不同平台（如京东自营、社区团购、线下超市）价格差可能达到30%。
   - **果径等级**：红富士80mm以上和85mm以上的价格差距明显，硬要比较时需先统一规格。
   - **新鲜度**：生鲜水果损耗大，如果线下能挑，往往比线上盲盒式购买更划算。

**建议操作**：
- 打开你常用的购物App（如京东、美团、朴朴），搜索“佳农红富士”和“鑫荣懋红富士”，直接对比**同规格（如5斤装、果径85mm）** 的到手价。
- 如果两者价格接近（价差在10%以内），优先选佳农（品控更稳）；如果鑫荣懋便宜了15%以上，且渠道信誉好（如官方旗舰店），可以选鑫荣懋。

**注意**：不要只看标价，要看**净含量（是否带箱重）** 和**售后承诺**（坏果包赔比例）。
