判断茶饮连锁供应商能否稳定按规格送货，不能只听口头承诺，必须靠**流程、数据和实地验证**。以下是六步筛选法，可执行性强：

**第一步：要求提供“规格承诺书”和技术参数表**
- 让供应商书面确认：果径范围（如13-15cm）、单果重（如1.5-2kg）、糖度（如12-14°Brix）、成熟度（八成熟）、去冠/去叶标准。
- 关键：要求他们提供**《种植/采收标准作业程序》**或分拣线参数。若供应商拿不出书面标准，基本可以排除。

**第二步：验证分拣能力（到厂/到仓检查）**
- 看分拣线是否配备**重量分级机和光电果径分选机**（而非纯人工目测）。
- 抽查：现场随机抽3箱，按规格要求逐果测量，计算**偏差率**（标准：重量偏差≤5%，果径偏差≤3%）。
- 记录分拣车间温度（要求采后2小时内预冷至10℃以下，否则后续损耗大）。

**第三步：合同里绑定“到货率”和“拒收条款”**
- 明确约定：**整批到货合格率≥98%**（按重量计）。
- 约定**到货时间窗口**（如每日凌晨4:00-6:00，误差≤30分钟）。
- 写明违约处理：若连续两次或累计三次不达标，供应商必须赔付重新采购差价，且甲方有权单方面终止合作。

**第四步：试运行期（最少连续4周）**
- 不下大单，每周订2-3次小批量（如每次200kg）。
- 连续记录：到货重量是否足秤、果径均匀度、糖度浮动范围。
- 重点观察**三个批次后**：规格是否随产地轮换而漂移（例如换产区后是否变果）。稳定供应商能做到规格恒定，不稳定的通常缩水或混装。

**第五步：考察其上游货源绑定深度**
- 询问供应商自有基地面积的50%以上？还是全靠临时收果？
- 要求提供**近三个月的产地证明**和**冷库库存照片/视频**（要求现场实时拍摄）。
- 真正稳定的供应商应有固定合同果园，且在主雨季（如海南5-8月）有自己的调货渠道，而不是“今天有明天没有”。

**第六步：建立数字化验收台账**
- 每批到货用电子表格记录：供应商、到货时间、总重、合格重量、果径均值、糖度、照片证据。
- 每月生成供应商评分卡（权重建议：到货准时40%、规格达标40%、价格稳定20%）。
- 连续3个月评分低于85分的，直接启动备选供应商计划。

**特别提醒（避坑）**：
- 不要相信“我们做了十年，放心”这类话，必须用数据说话。
- 警惕报价过低的供应商——规格稳定的成本是有底线的（比如当季菠萝收购价+15%分选冷库物流费，低于这个水平通常以次充好）。
- 签约前务必实地走访其冷库，确认**预冷能力**和**周转库容**，否则夏季高温天极容易到货后软化发霉。

如果你需要，我可以给你一份现成的**供应商评估打分表**模板，用于日常记录。
